"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","proximity","proxHide","posUncertainty","tpDiscovery","threatSearchDelay","caught","afterEpoch","predatorFirstSeen","failedAttempts","maxPossTime","tpEpoch_MinDisc","ParticipantID","checkAction","schedID"
5,"vigilence5","FALSE",1622635705293,11723,11711,1622635693570,1622635693582,0,4,38,NA,102,0,"TRUE",5,0.2604,640,512,1,6.5,20,0,1,0,"0","0",4334,"NaN",NA,2418,1641,874,NA,NA,NA,0,54844,72.502,-14.789,-14.789,0.0437,10837,4337,0,0,0,0,28000,874,"sub224",TRUE,"sched10_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1622635706218,12648,12636,1622635693570,1622635693582,0,4,25,25,127,0,"TRUE",5,0.3067,640,512,1,6.5,20,0,1,0,"0","0",5259,"NaN",NA,3343,2566,925,NA,NA,NA,0,55769,73.427,-13.864,-13.864,0.04625,10837,4337,0,0,0,0,28000,1799,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1622635708592,15022,15010,1622635693570,1622635693582,0,4,13,13,140,0,"TRUE",5,0.4254,640,512,1,6.5,20,0,1,0,"0","0",2374,"NaN",NA,5717,4940,3299,NA,NA,NA,0,58143,75.801,-11.49,-11.49,0.16495,10837,4337,0,0,0,0,28000,4173,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1622635710232,16662,16650,1622635693570,1622635693582,0,4,85,85,225,0,"TRUE",5,0.5074,640,512,1,6.5,20,0,1,0,"0","0",1640,"NaN",NA,7357,6580,4939,NA,NA,NA,0,59783,77.441,-9.85,-9.85,0.24695,10837,4337,0,0,0,0,28000,5813,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1622635712000,18430,18418,1622635693570,1622635693582,0,4,42,42,267,0,"TRUE",5,0.5958,640,512,1,6.5,20,0,1,0,"0","0",1768,"NaN",NA,9125,8348,6707,NA,NA,NA,0,61551,79.209,-8.082,-8.082,0.33535,10837,4337,0,0,0,0,28000,7581,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
5,"vigilence5","TRUE",1622635713460,19890,19878,1622635693570,1622635693582,0,4,26,NA,267,0,"TRUE",5,0.6688,640,512,1,6.5,20,0,1,0,"0","0",1460,"NaN",NA,10585,9808,8167,NA,NA,NA,0,63011,80.669,-6.622,-6.622,0.40835,10837,4337,0,0,0,0,28000,9041,"sub224",TRUE,"sched10_17Jan20_45min_shuffledv1.json"
5,"vigilence5","FALSE",1622635714077,20507,20495,1622635693570,1622635693582,0,4,89,NA,267,0,"TRUE",5,0.6996,640,512,1,6.5,20,0,1,0,"0","0",2077,"NaN",NA,11202,10425,617,NA,NA,NA,0,63628,81.286,-6.005,-6.005,0.03085,10837,4337,0,0,0,0,28000,9658,"sub224",TRUE,"sched10_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1622635714849,21279,21267,1622635693570,1622635693582,0,4,89,89,356,0,"TRUE",5,0.7383,640,512,1,6.5,20,0,1,0,"0","0",2849,"NaN",NA,11974,11197,772,NA,NA,NA,0,64400,82.058,-5.233,-5.233,0.0386,10837,4337,0,0,0,0,28000,10430,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
2,"hide","FALSE",1622635716410,22840,22828,1622635693570,1622635693582,0,4,80,NA,356,0,"TRUE",5,0.8163,640,512,1,6.5,20,0,1,0,"0","0",1561,"NaN",NA,13535,12758,2333,NA,NA,NA,0,65961,83.619,-3.672,-3.672,0.11665,10837,4337,0,0,0,0,28000,11991,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1622635736970,43400,15391,1622635693570,1622635721579,0,4,66,66,501,0,"TRUE",6,0.6445,640,512,1,2.5,20,1,2,0,"0","0",6675,"NaN",6107,3121,2340,1499,674,NA,NA,0,86521,104.179,-7.109,-7.109,0.0337,14717,12217,0,0,0,0,24000,674,"sub224",FALSE,"sched10_17Jan20_45min_shuffledv1.json"
