"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
1,"forage","FALSE",1620896754973,1527,1513,1620896753446,1620896753460,0,4,18,18,18,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,NA,NA,NA,NA,NA,NA,0,78426,96.084,0,0,0,0,0,0.144095238095238,0.0672444444444444,0,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620896756108,2662,2648,1620896753446,1620896753460,0,4,29,29,18,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1135,"NaN",NA,NA,NA,NA,NA,NA,NA,0,79561,97.219,0,0,0,0,0,0.252190476190476,0.117688888888889,0,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620896756984,3538,3524,1620896753446,1620896753460,0,4,41,41,59,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",876,"NaN",NA,NA,NA,NA,NA,NA,NA,0,80437,98.095,0,0,0,0,0,0.335619047619048,0.156622222222222,0,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620896757959,4513,4499,1620896753446,1620896753460,0,4,90,90,59,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",975,"NaN",NA,NA,NA,NA,NA,NA,NA,0,81412,99.07,0,0,0,0,0,0.42847619047619,0.199955555555556,0,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620896759065,5619,5605,1620896753446,1620896753460,0,4,70,70,129,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1106,"NaN",NA,NA,NA,NA,NA,NA,NA,0,82518,100.176,0,0,0,0,0,0.533809523809524,0.249111111111111,0,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1620896760724,7278,7264,1620896753446,1620896753460,0,4,32,NA,129,0,"TRUE",6,0.0381,640,512,0,6.5,20,0,1,0,"1","0",1659,"NaN",NA,NA,NA,NA,NA,NA,NA,0,84177,101.835,0,0,0,1,0,0.691809523809524,0.322844444444444,0,"sub214",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620896761607,8161,8147,1620896753446,1620896753460,0,4,54,54,183,0,"TRUE",6,0.0822,640,512,0,6.5,20,0,1,0,"0","0",2542,"NaN",NA,883,NA,NA,NA,NA,NA,0,85060,102.718,0,0,0,0,0,0.775904761904762,0.362088888888889,1,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620896763248,9802,9788,1620896753446,1620896753460,0,4,2,2,185,0,"TRUE",6,0.1643,640,512,0,6.5,20,0,1,0,"0","0",1641,"NaN",NA,2524,NA,NA,NA,NA,NA,0,86701,104.359,0,0,0,0,0,0.932190476190476,0.435022222222222,1,"sub214",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1620896765368,11922,11908,1620896753446,1620896753460,0,4,38,NA,185,0,"TRUE",6,0.2702,640,512,0,6.5,20,0,1,0,"0","0",2120,"NaN",NA,4644,NA,NA,NA,NA,NA,0,88821,106.479,0,0,0,0,0,1,0.529244444444444,1,"sub214",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1620896766558,13112,13098,1620896753446,1620896753460,0,4,38,NA,185,0,"TRUE",6,0.3297,640,512,0,6.5,20,0,1,0,"0","0",3310,"NaN",NA,5834,1190,NA,NA,NA,NA,0,90011,107.669,0,0,0,0,0,1,0.582133333333333,1,"sub214",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
