"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","proximity","proxHide","posUncertainty","tpDiscovery","threatSearchDelay","caught","afterEpoch","predatorFirstSeen","failedAttempts","maxPossTime","tpEpoch_MinDisc","ParticipantID","checkAction","schedID"
1,"forage","FALSE",1622107658650,10910,10898,1622107647740,1622107647752,0,4,10,10,64,0,"TRUE",4,0.2199,640,512,1,6.5,20,0,1,0,"0","0",2816,"NaN",8185,1214,683,4062,3389,NA,NA,0,45261,62.919,-15.602,-15.602,0.03415,10215,3715,0,0,0,0,28000,683,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107660390,12650,12638,1622107647740,1622107647752,0,4,25,25,89,0,"TRUE",4,0.3068,640,512,1,6.5,20,0,1,0,"0","0",1740,"NaN",9925,2954,2423,5802,5129,NA,NA,0,47001,64.659,-13.862,-13.862,0.12115,10215,3715,0,0,0,0,28000,2423,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1622107661885,14145,14133,1622107647740,1622107647752,0,4,13,13,89,0,"TRUE",4,0.3816,640,512,1,6.5,20,0,1,0,"0","0",1495,"NaN",11420,4449,3918,7297,6624,NA,NA,0,48496,66.154,-12.367,-12.367,0.1959,10215,3715,0,0,0,0,28000,3918,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107662545,14805,14793,1622107647740,1622107647752,0,4,13,13,102,0,"TRUE",4,0.4146,640,512,1,6.5,20,0,1,0,"0","0",660,"NaN",12080,5109,4578,7957,7284,NA,NA,0,49156,66.814,-11.707,-11.707,0.2289,10215,3715,0,0,0,0,28000,4578,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1622107664236,16496,16484,1622107647740,1622107647752,0,4,85,NA,102,0,"TRUE",4,0.4992,640,512,1,6.5,20,0,1,0,"0","0",1691,"NaN",13771,6800,6269,9648,8975,NA,NA,0,50847,68.505,-10.016,-10.016,0.31345,10215,3715,0,0,0,0,28000,6269,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107665384,17644,17632,1622107647740,1622107647752,0,4,68,68,170,0,"TRUE",4,0.5565,640,512,1,6.5,20,0,1,0,"0","0",2839,"NaN",14919,7948,1148,10796,10123,NA,NA,0,51995,69.653,-8.868,-8.868,0.0574,10215,3715,0,0,0,0,28000,7417,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107667035,19295,19283,1622107647740,1622107647752,0,4,26,26,196,0,"TRUE",4,0.6391,640,512,1,6.5,20,0,1,0,"0","0",1651,"NaN",16570,9599,2799,12447,11774,NA,NA,0,53646,71.304,-7.217,-7.217,0.13995,10215,3715,0,0,0,0,28000,9068,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107668632,20892,20880,1622107647740,1622107647752,0,4,89,89,285,0,"TRUE",4,0.7189,640,512,1,6.5,20,0,1,0,"0","0",1597,"NaN",18167,11196,4396,14044,13371,NA,NA,0,55243,72.901,-5.62,-5.62,0.2198,10215,3715,0,0,0,0,28000,10665,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
2,"hide","TRUE",1622107669354,21614,21602,1622107647740,1622107647752,0,4,89,NA,285,0,"TRUE",4,0.755,640,512,1,6.5,20,0,1,0,"0","0",722,"NaN",18889,11918,5118,14766,14093,NA,NA,0,55965,73.623,-4.898,-4.898,0.2559,10215,3715,0,0,0,0,28000,11387,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
2,"hide","TRUE",1622107670079,22339,22327,1622107647740,1622107647752,0,4,80,NA,285,0,"TRUE",4,0.7913,640,512,1,6.5,20,0,1,0,"0","0",1447,"NaN",19614,12643,5843,15491,14818,NA,NA,0,56690,74.348,-4.173,-4.173,0.29215,10215,3715,0,0,0,0,28000,12112,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
