"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","proximity","proxHide","posUncertainty","tpDiscovery","threatSearchDelay","caught","afterEpoch","predatorFirstSeen","failedAttempts","maxPossTime","tpEpoch_MinDisc","ParticipantID","checkAction","schedID"
1,"forage","FALSE",1620205861683,9564,9551,1620205852119,1620205852132,0,4,2,2,121,0,"TRUE",6,0.1526,640,512,1,6.5,20,0,1,0,"0","0",5096,"NaN",NA,3600,2683,1851,931,NA,NA,0,44593,62.251,-16.949,-16.949,0.04655,8620,2120,0,0,0,0,28000,931,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1620205863083,10964,10951,1620205852119,1620205852132,0,4,10,NA,121,0,"TRUE",6,0.2225,640,512,1,6.5,20,0,1,0,"0","1",1400,"NaN",NA,5000,4083,3251,2331,NA,NA,0,45993,63.651,-15.549,-15.549,0.11655,8620,2120,0,0,0,0,28000,2331,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","FALSE",1620205863659,11540,11527,1620205852119,1620205852132,0,4,38,NA,121,0,"TRUE",6,0.2514,640,512,1,6.5,20,0,1,0,"0","1",1976,"NaN",NA,5576,4659,3827,576,NA,NA,0,46569,64.227,-14.973,-14.973,0.0288,8620,2120,0,0,0,0,28000,2907,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205864483,12364,12351,1620205852119,1620205852132,0,4,25,25,146,0,"TRUE",6,0.2925,640,512,1,6.5,20,0,1,0,"0","0",2800,"NaN",NA,6400,5483,4651,824,NA,NA,0,47393,65.051,-14.149,-14.149,0.0412,8620,2120,0,0,0,0,28000,3731,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","FALSE",1620205866082,13963,13950,1620205852119,1620205852132,0,4,38,NA,146,0,"TRUE",6,0.3725,640,512,1,6.5,20,0,1,0,"0","1",1599,"NaN",NA,7999,7082,6250,2423,NA,NA,0,48992,66.65,-12.55,-12.55,0.12115,8620,2120,0,0,0,0,28000,5330,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205866802,14683,14670,1620205852119,1620205852132,0,4,13,13,159,0,"TRUE",6,0.4085,640,512,1,6.5,20,0,1,0,"0","0",2319,"NaN",NA,8719,7802,6970,720,NA,NA,0,49712,67.37,-11.83,-11.83,0.036,8620,2120,0,0,0,0,28000,6050,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620205868559,16440,16427,1620205852119,1620205852132,0,4,85,NA,159,0,"TRUE",6,0.4963,640,512,1,6.5,20,0,1,0,"0","0",1757,"NaN",NA,10476,9559,8727,2477,NA,NA,0,51469,69.127,-10.073,-10.073,0.12385,8620,2120,0,0,0,0,28000,7807,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620205892901,40782,12753,1620205852119,1620205880148,0,4,4,NA,373,0,"TRUE",3,0.5126,640,512,1,2.5,20,1,2,0,"0","0",2690,"NaN",13700,925,8657,6543,5673,NA,NA,0,75811,93.469,-9.747,-9.747,0.04625,11828,9328,0,0,0,0,24000,925,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205919080,66961,14931,1620205852119,1620205904149,0,4,83,83,547,0,"TRUE",5,0.2215,640,512,1,10.5,20,2,3,0,"0","0",3820,"NaN",15840,2220,1493,771,5974,NA,NA,0,101990,119.648,-15.569,-15.569,0.03855,14160,3660,0,0,0,0,32000,771,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205920721,68602,16572,1620205852119,1620205904149,0,4,26,26,573,0,"TRUE",5,0.3035,640,512,1,10.5,20,2,3,0,"0","0",1641,"NaN",17481,3861,3134,2412,7615,NA,NA,0,103631,121.289,-13.928,-13.928,0.1206,14160,3660,0,0,0,0,32000,2412,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620205922211,70092,18062,1620205852119,1620205904149,0,4,39,39,573,0,"TRUE",5,0.378,640,512,1,10.5,20,2,3,0,"0","0",1490,"NaN",18971,5351,4624,3902,9105,NA,NA,0,105121,122.779,-12.438,-12.438,0.1951,14160,3660,0,0,0,0,32000,3902,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205922742,70623,18593,1620205852119,1620205904149,0,4,39,39,612,0,"TRUE",5,0.4045,640,512,1,10.5,20,2,3,0,"0","0",531,"NaN",19502,5882,5155,4433,9636,NA,NA,0,105652,123.31,-11.907,-11.907,0.22165,14160,3660,0,0,0,0,32000,4433,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205924350,72231,20201,1620205852119,1620205904149,0,4,27,27,639,0,"TRUE",5,0.4849,640,512,1,10.5,20,2,3,0,"0","0",1608,"NaN",21110,7490,6763,6041,11244,NA,NA,0,107260,124.918,-10.299,-10.299,0.30205,14160,3660,0,0,0,0,32000,6041,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","TRUE",1620205925745,73626,21596,1620205852119,1620205904149,0,4,74,NA,639,0,"TRUE",5,0.5547,640,512,1,10.5,20,2,3,0,"0","0",1395,"NaN",22505,8885,8158,7436,12639,NA,NA,0,108655,126.313,-8.904,-8.904,0.3718,14160,3660,0,0,0,0,32000,7436,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1620205926270,74151,22121,1620205852119,1620205904149,0,4,32,NA,639,0,"TRUE",5,0.5809,640,512,1,10.5,20,2,3,0,"0","0",1920,"NaN",23030,9410,8683,525,13164,NA,NA,0,109180,126.838,-8.379,-8.379,0.02625,14160,3660,0,0,0,0,32000,7961,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205926838,74719,22689,1620205852119,1620205904149,0,4,32,32,671,0,"TRUE",5,0.6093,640,512,1,10.5,20,2,3,0,"0","0",2488,"NaN",23598,9978,9251,568,13732,NA,NA,0,109748,127.406,-7.811,-7.811,0.0284,14160,3660,0,0,0,0,32000,8529,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620205928429,76310,24280,1620205852119,1620205904149,0,4,3,NA,671,0,"TRUE",5,0.6889,640,512,1,10.5,20,2,3,0,"0","0",1591,"NaN",25189,11569,10842,2159,15323,NA,NA,0,111339,128.997,-6.22,-6.22,0.10795,14160,3660,0,0,0,0,32000,10120,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205958921,10589,10582,1620205948332,1620205948339,1,2,90,90,955,0,"TRUE",4,0.3081,640,512,1,7.5,10,0,1,0,"0","0",2789,"NaN",8718,4890,883,32651,45815,NA,NA,0,141831,159.489,-6.918,-6.918,0.0883,9699,2199,0,0,0,0,19000,883,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620205960638,12306,12299,1620205948332,1620205948339,1,2,38,NA,955,0,"TRUE",4,0.4798,640,512,1,7.5,10,0,1,0,"0","0",1717,"NaN",10435,6607,2600,34368,47532,NA,NA,0,143548,161.206,-5.201,-5.201,0.26,9699,2199,0,0,0,0,19000,2600,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205978713,30381,11371,1620205948332,1620205967342,1,2,11,11,264,1,"TRUE",4,0.0869,640,512,1,10.5,10,1,2,0,"0","0",3127,"NaN",12431,1235,669,52443,65607,NA,NA,0,161623,179.281,-9.129,-9.129,0.0669,10702,202,0,0,0,0,22000,669,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205980303,31971,12961,1620205948332,1620205967342,1,2,8,8,272,1,"TRUE",4,0.2459,640,512,1,10.5,10,1,2,0,"0","0",1590,"NaN",14021,2825,2259,54033,67197,NA,NA,0,163213,180.871,-7.539,-7.539,0.2259,10702,202,0,0,0,0,22000,2259,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","TRUE",1620205981645,33313,14303,1620205948332,1620205967342,1,2,22,NA,272,1,"TRUE",4,0.3801,640,512,1,10.5,10,1,2,0,"0","0",1342,"NaN",15363,4167,3601,55375,68539,NA,NA,0,164555,182.213,-6.197,-6.197,0.3601,10702,202,0,0,0,0,22000,3601,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620205982053,33721,14711,1620205948332,1620205967342,1,2,22,NA,272,1,"TRUE",4,0.4209,640,512,1,10.5,10,1,2,0,"0","0",1750,"NaN",15771,4575,4009,55783,68947,NA,NA,0,164963,182.621,-5.789,-5.789,0.4009,10702,202,0,0,0,0,22000,4009,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620205997655,49323,8326,1620205948332,1620205989329,1,2,67,NA,480,1,"TRUE",3,0.4825,640,512,1,3.5,10,2,3,0,"0","0",2530,"NaN",8677,617,9235,71385,84549,NA,NA,0,180565,198.223,-5.174,-5.174,0.0617,7709,4209,0,0,0,0,15000,617,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620206015098,66766,10760,1620205948332,1620206004338,1,2,8,NA,687,1,"TRUE",3,0.4259,640,512,1,6.5,10,3,4,0,"0","0",2574,"NaN",11526,980,4948,88828,101992,NA,NA,0,198008,215.666,-5.74,-5.74,0.098,9780,3280,0,0,0,0,18000,980,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620206027469,79137,5115,1620205948332,1620206022354,1,2,36,36,734,1,"TRUE",4,0.2613,640,512,1,2.5,10,4,5,0,"0","0",3410,"NaN",6110,1489,609,101199,114363,NA,NA,0,210379,228.037,-7.385,-7.385,0.0609,4506,2006,0,0,0,0,14000,609,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
2,"hide","FALSE",1620206029236,80904,6882,1620205948332,1620206022354,1,2,12,NA,734,1,"TRUE",4,0.438,640,512,1,2.5,10,4,5,0,"0","0",1767,"NaN",7877,3256,2376,102966,116130,NA,NA,0,212146,229.804,-5.618,-5.618,0.2376,4506,2006,0,0,0,0,14000,2376,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620206056191,12809,12800,1620206043382,1620206043391,2,2,32,32,864,1,"TRUE",3,0.1648,640,512,1,9.5,20,0,1,0,"0","0",2310,"NaN",1493,14149,29331,129921,143085,NA,NA,0,239101,256.759,-16.7,-16.7,0.1155,10490,990,0,0,0,0,31000,2310,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620206056607,13225,13216,1620206043382,1620206043391,2,2,36,36,864,1,"TRUE",3,0.1855,640,512,1,9.5,20,0,1,0,"0","0",416,"NaN",1909,14565,29747,130337,143501,NA,NA,0,239517,257.175,-16.284,-16.284,0.1363,10490,990,0,0,0,0,31000,2726,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620206057431,14049,14040,1620206043382,1620206043391,2,2,48,48,912,1,"TRUE",3,0.2268,640,512,1,9.5,20,0,1,0,"0","0",824,"NaN",2733,15389,30571,131161,144325,NA,NA,0,240341,257.999,-15.46,-15.46,0.1775,10490,990,0,0,0,0,31000,3550,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1620206057689,14307,14298,1620206043382,1620206043391,2,2,48,NA,912,1,"TRUE",3,0.2397,640,512,1,9.5,20,0,1,0,"0","1",258,"NaN",2991,15647,30829,131419,144583,NA,NA,0,240599,258.257,-15.202,-15.202,0.1904,10490,990,0,0,0,0,31000,3808,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620206059088,15706,15697,1620206043382,1620206043391,2,2,58,58,970,1,"TRUE",3,0.3096,640,512,1,9.5,20,0,1,0,"0","0",1657,"NaN",4390,1399,32228,132818,145982,NA,NA,0,241998,259.656,-13.803,-13.803,0.06995,10490,990,0,0,0,0,31000,5207,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1620206060528,17146,17137,1620206043382,1620206043391,2,2,56,NA,970,1,"TRUE",3,0.3816,640,512,1,9.5,20,0,1,0,"0","1",1440,"NaN",5830,2839,33668,134258,147422,NA,NA,0,243438,261.096,-12.363,-12.363,0.14195,10490,990,0,0,0,0,31000,6647,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1620206061048,17666,17657,1620206043382,1620206043391,2,2,56,NA,970,1,"TRUE",3,0.4076,640,512,1,9.5,20,0,1,0,"0","1",1960,"NaN",6350,520,34188,134778,147942,NA,NA,0,243958,261.616,-11.843,-11.843,0.026,10490,990,0,0,0,0,31000,7167,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1620206061668,18286,18277,1620206043382,1620206043391,2,2,40,NA,970,1,"TRUE",3,0.4386,640,512,1,9.5,20,0,1,0,"0","1",2580,"NaN",6970,620,34808,135398,148562,NA,NA,0,244578,262.236,-11.223,-11.223,0.031,10490,990,0,0,0,0,31000,7787,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620206062132,18750,18741,1620206043382,1620206043391,2,2,40,40,970,1,"TRUE",3,0.4618,640,512,1,9.5,20,0,1,0,"0","0",3044,"NaN",7434,464,35272,135862,149026,NA,NA,0,245042,262.7,-10.759,-10.759,0.0232,10490,990,0,0,0,0,31000,8251,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
