Condition,Regressor,ROI,Seed,Uncorrected_pvalue,Significant,T_stats,df,Avg_peak_sec,Peak_search_window,Mean,SD,p_wilcoxon,zval_wilcoxon,signedrank_wilcoxon,Full_model,Peak_vals_1,Peak_vals_2,Peak_vals_3,Peak_vals_4,Peak_vals_5,Peak_vals_6,Peak_vals_7,Peak_vals_8,Peak_vals_9,Peak_vals_10,Peak_vals_11,Peak_vals_12,Peak_vals_13,Peak_vals_14,Peak_vals_15,Peak_vals_16,Peak_vals_17,Peak_vals_18,Peak_vals_19,Peak_vals_20,Peak_vals_21,Peak_vals_22,Peak_vals_23
vigilance_firstChecks_constant_plus_firstForages,switchToCheck,HB,ACC_cluster_cope7,7.44E-07,1,6.82321109,22,4.803921569,-5s-5s,0.081205325,0.0570768,3.53E-05,4.13643364,274,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.029867566,0.082890026,0.064969823,0.179198603,0.091447222,0.081217942,0.153164394,0.091721141,0.040693983,0.155578416,0.019205396,0.092607102,0.000729202,0.037707003,0.056694694,0.045539514,0.017592542,-0.007584517,0.090641295,0.162432087,0.185624094,0.063926427,0.131858513
vigilance_firstChecks_constant_plus_firstForages,timepressure,HB,ACC_cluster_cope7,0.000573446,1,4.020712068,22,5,-5s-5s,0.059450439,0.070911392,0.001020494,3.284814949,246,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.028215814,-0.020925191,0.066604258,0.011436906,-0.004305096,0.045920331,0.227583912,-0.017574064,0.094868146,0.081803858,0.084948334,0.212068086,0.077044877,0.076858901,-0.003488442,-0.047405289,-0.004368786,0.157791114,0.112462728,0.026976269,0.075348962,0.009015125,0.076479346
vigilance_firstChecks_constant_plus_firstForages,time,HB,ACC_cluster_cope7,0.207633239,0,1.298291039,22,-3.725490196,-5s-5s,0.014544065,0.053725154,0.223757155,1.216598129,178,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.065989725,-0.049780001,0.006581703,0.099531658,-0.063721655,0.049852273,0.053856251,-0.000145697,-0.038770132,-0.0013441,0.062284167,0.045171799,0.111563822,0.0442646,0.05261979,0.009412747,-0.065827448,-0.045622565,0.076646906,0.020355721,0.060635394,-0.032271486,0.005209476
vigilance_firstChecks_constant_plus_firstForages,reward,HB,ACC_cluster_cope7,0.1252901,0,1.593611717,22,1.37254902,-5s-5s,0.022512883,0.067750503,0.055347017,1.916142054,201,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.039959253,0.05858624,0.026103531,-0.146374736,-0.038838098,0.064035875,0.005619116,0.005742805,0.055287844,0.085327381,0.05154488,0.091391364,0.094905055,0.022582458,0.080636833,0.076309769,-0.07024126,0.000150615,-0.049685941,-0.126414427,0.090488422,0.049414154,0.051265181
vigilance_firstChecks_constant_plus_firstForages,seedTC,HB,ACC_cluster_cope7,1.45E-06,1,6.526862194,22,-0.392156863,-5s-5s,0.17158386,0.126077012,0.000112141,3.862699061,265,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.056125035,0.352007636,0.071439473,0.157131793,0.160024287,0.139050514,0.239083008,0.235129525,0.201773155,0.103032855,0.312944623,0.067823879,0.151839525,-0.113518277,0.242322806,0.143214044,0.312052884,0.392129227,0.325500344,-0.072922288,0.102278081,0.222674033,0.145292616
vigilance_firstChecks_constant_plus_firstForages,constant,HB,ACC_cluster_cope7,0.001008904,1,3.788476776,22,-4.901960784,-5s-5s,0.040360305,0.051092097,0.002126936,3.071910277,239,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.025955865,0.032070184,0.002095796,-0.057236579,0.05233621,0.026655889,0.020313685,0.127439846,0.039085915,0.111765638,-0.00089318,0.108533613,-0.040938151,0.087418584,0.098629983,0.020564604,-0.009716753,0.012840205,-0.007820156,0.024952655,0.051531953,0.087240912,0.115460289
vigilance_firstChecks_constant_plus_firstForages,PPI1_seedTCXswitchToCheck,HB,ACC_cluster_cope7,0.000412422,1,4.155780706,22,-0.882352941,-5s-5s,0.053187391,0.061379025,0.001020494,3.284814949,246,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,-0.030171911,0.032836382,0.089336324,-0.042944495,0.087699182,0.074284879,0.006163771,0.1822772,0.129762111,-0.004294192,0.102629641,0.121581636,0.047774396,0.143064857,0.026372092,0.012363172,0.055338338,0.044592432,-0.023166345,0.121475638,0.049646724,-0.024861706,0.021549868
vigilance_firstChecks_constant_plus_firstForages,PPI2_seedTCXtimepressure,HB,ACC_cluster_cope7,0.937611902,0,-0.079171565,22,1.37254902,-5s-5s,-0.000885238,0.053623462,0.60511832,-0.517054205,121,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.047485567,0.109290158,-0.010309575,-0.009277392,0.002031674,-0.041755633,-0.040276617,-0.021351545,-0.037675334,-0.0478188,-0.05850785,-0.045135471,0.034532898,0.123054267,-0.006408692,0.060992792,-0.006212433,0.029767583,0.016745846,0.044167307,-0.075754307,-0.08293975,-0.005005173
vigilance_firstChecks_constant_plus_firstForages,PPI3_switchToCheckXtimepressure,HB,ACC_cluster_cope7,0.001365916,1,3.663341837,22,4.705882353,-5s-5s,0.045137996,0.059092007,0.003175164,2.950250464,235,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.087595408,0.065128549,0.064622483,0.132174565,0.047076816,-0.021301884,-0.049746382,-0.005962269,0.047459093,0.133698603,-0.016261533,-0.05998987,0.008424038,0.148725272,0.004266731,0.043926859,0.020895758,0.094620689,0.021913719,0.086950419,0.129950116,0.004238518,0.049768205
vigilance_firstChecks_constant_plus_firstForages,PPI4_seedTCXswitchToCheckXtimepressure,HB,ACC_cluster_cope7,0.612047761,0,-0.514478064,22,-2.941176471,-5s-5s,-0.013302957,0.124006729,0.447031161,-0.760373831,113,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.060419716,0.030913636,0.011794061,-0.047514637,-0.129679392,-0.037714241,-0.040522488,0.01211676,0.069710212,0.170069638,-0.159583313,0.057167001,-0.111463568,-0.288540259,-0.04689604,0.293106041,-0.068521059,0.056247423,-0.03562752,0.180415053,-0.081135178,-0.082574592,-0.118155273
vigilance_firstChecks_constant_plus_firstForages,switchToCheck,HB,ACC_cluster_cope7,1.53E-07,1,7.548176389,22,5,5s-10s,0.084312184,0.053568837,2.70E-05,4.197263546,276,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.023273196,0.083911987,0.06640858,0.171568726,0.081416862,0.073052379,0.141634441,0.089636424,0.052661719,0.161610581,0.025010529,0.085774543,0.011163143,0.035833623,0.093842963,0.042967072,0.038922977,0.018046839,0.098153384,0.181458518,0.182187835,0.05646076,0.124183152
vigilance_firstChecks_constant_plus_firstForages,timepressure,HB,ACC_cluster_cope7,3.72E-05,1,5.144254764,22,5.784313725,5s-10s,0.068836371,0.064174045,4.59E-05,4.075603733,272,switchToCheck + timepressure + time + reward + seedTC + constant + PPI1_seedTCXswitchToCheck + PPI2_seedTCXtimepressure + PPI3_switchToCheckXtimepressure + PPI4_seedTCXswitchToCheckXtimepressure,0.014226123,0.002533345,0.057304345,0.022478288,0.032660978,0.029646117,0.182413249,0.020062862,0.053800778,0.12593277,0.114217754,0.259019161,0.091594197,0.098410602,0.038766457,-0.017829948,0.019218874,0.065626968,0.093444718,0.070439357,0.126518847,0.082488568,0.000262123
