"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
1,"forage","FALSE",1623058642693,3898,3885,1623058638795,1623058638808,0,4,41,41,41,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,NA,NA,NA,NA,NA,NA,0,50541,68.199,0,0,0,0,0,0.37,0.172666666666667,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623058644645,5850,5837,1623058638795,1623058638808,0,4,70,70,111,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1952,"NaN",NA,NA,NA,NA,NA,NA,NA,0,52493,70.151,0,0,0,0,0,0.555904761904762,0.259422222222222,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
3,"vigilence3","FALSE",1623058646137,7342,7329,1623058638795,1623058638808,0,4,32,NA,111,0,"TRUE",5,0.0414,640,512,0,6.5,20,0,1,0,"1","0",1492,"NaN",NA,NA,NA,NA,NA,NA,NA,0,53985,71.643,0,0,0,1,0,0.698,0.325733333333333,0,"sub129",TRUE,"sched9_17Jan20_45min_shuffledv1.json"
4,"vigilence4","FALSE",1623058646809,8014,8001,1623058638795,1623058638808,0,4,32,NA,111,0,"TRUE",5,0.075,640,512,0,6.5,20,0,1,0,"0","0",2164,"NaN",NA,672,NA,NA,NA,NA,NA,0,54657,72.315,0,0,0,0,0,0.762,0.3556,1,"sub129",TRUE,"sched9_17Jan20_45min_shuffledv1.json"
5,"vigilence5","FALSE",1623058647376,8581,8568,1623058638795,1623058638808,0,4,54,NA,111,0,"TRUE",5,0.1034,640,512,1,6.5,20,0,1,0,"0","0",2731,"NaN",NA,1239,567,NA,NA,NA,NA,0,55224,72.882,0,0,1,0,0,0.816,0.3808,1,"sub129",TRUE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623058669921,31126,3115,1623058638795,1623058666806,0,4,39,39,203,0,"TRUE",4,0.0307,640,512,0,2.5,20,1,2,0,"0","0",17002,"NaN",3087,23784,23112,17919,NA,NA,NA,0,77769,95.427,0,0,0,0,0,0.296666666666667,0.138444444444444,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623058672222,33427,5416,1623058638795,1623058666806,0,4,40,40,243,0,"TRUE",4,0.1458,640,512,0,2.5,20,1,2,0,"0","0",2301,"NaN",5388,26085,25413,20220,NA,NA,NA,0,80070,97.728,0,0,0,0,0,0.515809523809524,0.240711111111111,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","TRUE",1623058673705,34910,6899,1623058638795,1623058666806,0,4,83,83,243,0,"TRUE",4,0.22,640,512,0,2.5,20,1,2,0,"0","0",1483,"NaN",6871,27568,26896,21703,NA,NA,NA,0,81553,99.211,0,0,0,0,0,0.657047619047619,0.306622222222222,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623058674172,35377,7366,1623058638795,1623058666806,0,4,89,89,332,0,"TRUE",4,0.2433,640,512,0,2.5,20,1,2,0,"0","0",467,"NaN",7338,28035,27363,22170,NA,NA,NA,0,82020,99.678,0,0,0,0,0,0.70152380952381,0.327377777777778,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","TRUE",1623058675664,36869,8858,1623058638795,1623058666806,0,4,80,80,332,0,"TRUE",4,0.3179,640,512,0,2.5,20,1,2,0,"0","0",1492,"NaN",8830,29527,28855,23662,NA,NA,NA,0,83512,101.17,0,0,0,0,0,0.843619047619048,0.393688888888889,0,"sub129",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
