"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
1,"forage","FALSE",1620205854887,2768,2755,1620205852119,1620205852132,0,4,29,29,29,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,NA,NA,NA,NA,NA,NA,0,37797,55.455,0,0,0,0,0,0.262380952380952,0.122444444444444,0,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205856587,4468,4455,1620205852119,1620205852132,0,4,90,90,119,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1700,"NaN",NA,NA,NA,NA,NA,NA,NA,0,39497,57.155,0,0,0,0,0,0.424285714285714,0.198,0,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1620205858083,5964,5951,1620205852119,1620205852132,0,4,70,NA,119,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"1","0",1496,"NaN",NA,NA,NA,NA,NA,NA,NA,0,40993,58.651,0,0,0,1,0,0.566761904761905,0.264488888888889,0,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1620205859000,6881,6868,1620205852119,1620205852132,0,4,57,NA,119,0,"TRUE",6,0.0184,640,512,0,6.5,20,0,1,0,"0","0",2413,"NaN",NA,917,NA,NA,NA,NA,NA,0,41910,59.568,0,0,0,0,0,0.654095238095238,0.305244444444444,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1620205859832,7713,7700,1620205852119,1620205852132,0,4,32,NA,119,0,"TRUE",6,0.06,640,512,0,6.5,20,0,1,0,"0","0",3245,"NaN",NA,1749,832,NA,NA,NA,NA,0,42742,60.4,0,0,0,0,0,0.733333333333333,0.342222222222222,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","FALSE",1620205860752,8633,8620,1620205852119,1620205852132,0,4,54,NA,119,0,"TRUE",6,0.106,640,512,1,6.5,20,0,1,0,"0","1",4165,"NaN",NA,2669,1752,920,NA,NA,NA,0,43662,61.32,0,0,1,0,1,0.820952380952381,0.383111111111111,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1620205880854,28735,706,1620205852119,1620205880148,0,4,20,NA,159,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","1",14052,"NaN",1653,22771,21854,21022,14772,NA,NA,0,63764,81.422,0,0,0,1,0,0.0672380952380952,0.0313777777777778,0,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1620205881371,29252,1223,1620205852119,1620205880148,0,4,10,NA,159,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","1",14569,"NaN",2170,517,22371,21539,15289,NA,NA,0,64281,81.939,0,0,0,0,0,0.11647619047619,0.0543555555555556,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1620205881780,29661,1632,1620205852119,1620205880148,0,4,10,NA,159,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"1","0",14978,"NaN",2579,409,22780,21948,15698,NA,NA,0,64690,82.348,0,0,0,0,0,0.155428571428571,0.0725333333333333,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205882655,30536,2507,1620205852119,1620205880148,0,4,9,9,168,0,"TRUE",3,0.0003,640,512,0,2.5,20,1,2,0,"0","0",15853,"NaN",3454,875,23655,22823,16573,NA,NA,0,65565,83.223,0,0,0,0,0,0.238761904761905,0.111422222222222,1,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","TRUE",1620205883886,31767,3738,1620205852119,1620205880148,0,4,39,NA,168,0,"TRUE",3,0.0619,640,512,0,2.5,20,1,2,0,"1","0",1231,"NaN",4685,2106,24886,24054,17804,NA,NA,0,66796,84.454,0,0,0,0,0,0.356,0.166133333333333,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1620205884244,32125,4096,1620205852119,1620205880148,0,4,46,NA,168,0,"TRUE",3,0.0798,640,512,0,2.5,20,1,2,0,"0","0",1589,"NaN",5043,2464,358,24412,18162,NA,NA,0,67154,84.812,0,0,0,0,0,0.390095238095238,0.182044444444444,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205884762,32643,4614,1620205852119,1620205880148,0,4,46,46,214,0,"TRUE",3,0.1056,640,512,0,2.5,20,1,2,0,"0","0",2107,"NaN",5561,2982,518,24930,18680,NA,NA,0,67672,85.33,0,0,0,0,0,0.439428571428571,0.205066666666667,1,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","TRUE",1620205885939,33820,5791,1620205852119,1620205880148,0,4,40,NA,214,0,"TRUE",3,0.1645,640,512,0,2.5,20,1,2,0,"0","0",1177,"NaN",6738,4159,1695,26107,19857,NA,NA,0,68849,86.507,0,0,0,0,0,0.55152380952381,0.257377777777778,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1620205886358,34239,6210,1620205852119,1620205880148,0,4,83,NA,214,0,"TRUE",3,0.1855,640,512,0,2.5,20,1,2,0,"0","0",1596,"NaN",7157,4578,2114,419,20276,NA,NA,0,69268,86.926,0,0,0,0,0,0.591428571428571,0.276,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1620205886670,34551,6522,1620205852119,1620205880148,0,4,83,NA,214,0,"TRUE",3,0.2011,640,512,0,2.5,20,1,2,0,"0","0",1908,"NaN",7469,4890,2426,312,20588,NA,NA,0,69580,87.238,0,0,0,0,1,0.621142857142857,0.289866666666667,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","FALSE",1620205887228,35109,7080,1620205852119,1620205880148,0,4,89,NA,214,0,"TRUE",3,0.2289,640,512,0,2.5,20,1,2,0,"0","1",2466,"NaN",8027,5448,2984,870,558,NA,NA,0,70138,87.796,0,0,0,1,0,0.674285714285714,0.283288888888889,0,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620205887688,35569,7540,1620205852119,1620205880148,0,4,89,89,214,0,"TRUE",3,0.252,640,512,0,2.5,20,1,2,0,"0","0",2926,"NaN",8487,5908,3444,1330,460,NA,NA,0,70598,88.256,0,0,0,0,0,0.718095238095238,0.303733333333333,1,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205888255,36136,8107,1620205852119,1620205880148,0,4,80,80,294,0,"TRUE",3,0.2803,640,512,0,2.5,20,1,2,0,"0","0",567,"NaN",9054,6475,4011,1897,1027,NA,NA,0,71165,88.823,0,0,0,0,0,0.772095238095238,0.328933333333333,1,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620205889742,37623,9594,1620205852119,1620205880148,0,4,79,79,294,0,"TRUE",3,0.3547,640,512,0,2.5,20,1,2,0,"0","0",1487,"NaN",10541,7962,5498,3384,2514,NA,NA,0,72652,90.31,0,0,0,0,0,0.913714285714286,0.395022222222222,1,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1620205890211,38092,10063,1620205852119,1620205880148,0,4,79,79,373,0,"TRUE",3,0.3781,640,512,0,2.5,20,1,2,0,"0","0",469,"NaN",11010,8431,5967,3853,2983,NA,NA,0,73121,90.779,0,0,0,0,0,0.958380952380952,0.415866666666667,1,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1620205891571,39452,11423,1620205852119,1620205880148,0,4,12,NA,373,0,"TRUE",3,0.4461,640,512,0,2.5,20,1,2,0,"0","1",1360,"NaN",12370,9791,7327,5213,4343,NA,NA,0,74481,92.139,0,0,0,0,0,1,0.476311111111111,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1620205891976,39857,11828,1620205852119,1620205880148,0,4,12,NA,373,0,"TRUE",3,0.4663,640,512,1,2.5,20,1,2,0,"1","0",1765,"NaN",12775,405,7732,5618,4748,NA,NA,0,74886,92.544,0,0,1,0,0,1,0.494311111111111,1,"sub111",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1620205904487,52368,338,1620205852119,1620205904149,0,4,25,25,373,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",14276,"NaN",1247,12511,20243,18129,17259,NA,NA,0,87397,105.055,0,0,0,0,0,0.0321904761904762,0.0150222222222222,0,"sub111",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
