"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","proximity","proxHide","posUncertainty","tpDiscovery","threatSearchDelay","caught","afterEpoch","predatorFirstSeen","failedAttempts","maxPossTime","tpEpoch_MinDisc","ParticipantID","checkAction","schedID"
4,"vigilence4","TRUE",1618996138358,10150,10137,1618996128208,1618996128221,0,4,10,NA,32,0,"TRUE",4,0.1817,640,512,1,6.5,20,0,1,0,"0","0",3041,"NaN",4475,1240,415,NA,NA,NA,NA,0,75494,93.152,-16.363,-16.363,0.02075,9722,3222,0,0,0,0,28000,415,"sub208",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1618996138828,10620,10607,1618996128208,1618996128221,0,4,10,NA,32,0,"TRUE",4,0.2052,640,512,1,6.5,20,0,1,0,"0","0",3511,"NaN",4945,1710,470,NA,NA,NA,NA,0,75964,93.622,-15.893,-15.893,0.0235,9722,3222,0,0,0,0,28000,885,"sub208",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","TRUE",1618996139186,10978,10965,1618996128208,1618996128221,0,4,10,NA,32,0,"TRUE",4,0.2231,640,512,1,6.5,20,0,1,0,"0","0",3869,"NaN",5303,2068,358,NA,NA,NA,NA,0,76322,93.98,-15.535,-15.535,0.0179,9722,3222,0,0,0,0,28000,1243,"sub208",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1618996139694,11486,11473,1618996128208,1618996128221,0,4,38,38,70,0,"TRUE",4,0.2485,640,512,1,6.5,20,0,1,0,"0","0",4377,"NaN",5811,2576,508,NA,NA,NA,NA,0,76830,94.488,-15.027,-15.027,0.0254,9722,3222,0,0,0,0,28000,1751,"sub208",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1618996141036,12828,12815,1618996128208,1618996128221,0,4,25,25,70,0,"TRUE",4,0.3156,640,512,1,6.5,20,0,1,0,"0","0",1342,"NaN",7153,3918,1850,NA,NA,NA,NA,0,78172,95.83,-13.685,-13.685,0.0925,9722,3222,0,0,0,0,28000,3093,"sub208",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1618996141445,13237,13224,1618996128208,1618996128221,0,4,38,38,108,0,"TRUE",4,0.3361,640,512,1,6.5,20,0,1,0,"0","0",409,"NaN",7562,4327,2259,NA,NA,NA,NA,0,78581,96.239,-13.276,-13.276,0.11295,9722,3222,0,0,0,0,28000,3502,"sub208",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1618996141803,13595,13582,1618996128208,1618996128221,0,4,38,38,108,0,"TRUE",4,0.3539,640,512,1,6.5,20,0,1,0,"0","0",358,"NaN",7920,4685,2617,NA,NA,NA,NA,0,78939,96.597,-12.918,-12.918,0.13085,9722,3222,0,0,0,0,28000,3860,"sub208",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1618996143146,14938,14925,1618996128208,1618996128221,0,4,13,13,121,0,"TRUE",4,0.4211,640,512,1,6.5,20,0,1,0,"0","0",1343,"NaN",9263,6028,3960,NA,NA,NA,NA,0,80282,97.94,-11.575,-11.575,0.198,9722,3222,0,0,0,0,28000,5203,"sub208",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1618996144658,16450,16437,1618996128208,1618996128221,0,4,85,NA,121,0,"TRUE",4,0.4967,640,512,1,6.5,20,0,1,0,"0","0",1512,"NaN",10775,7540,5472,NA,NA,NA,NA,0,81794,99.452,-10.063,-10.063,0.2736,9722,3222,0,0,0,0,28000,6715,"sub208",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","TRUE",1618996144973,16765,16752,1618996128208,1618996128221,0,4,85,NA,121,0,"TRUE",4,0.5125,640,512,1,6.5,20,0,1,0,"0","0",1827,"NaN",11090,7855,315,NA,NA,NA,NA,0,82109,99.767,-9.748,-9.748,0.01575,9722,3222,0,0,0,0,28000,7030,"sub208",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
