"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","proximity","proxHide","posUncertainty","tpDiscovery","threatSearchDelay","caught","afterEpoch","predatorFirstSeen","failedAttempts","maxPossTime","tpEpoch_MinDisc","ParticipantID","checkAction","schedID"
1,"forage","FALSE",1623671175894,11502,11489,1623671164392,1623671164405,0,4,38,38,208,0,"TRUE",6,0.2494,640,512,1,6.5,20,0,1,0,"0","0",2509,"NaN",NA,8461,5900,3441,918,NA,NA,0,59136,76.794,-15.011,-15.011,0.0459,10571,4071,0,0,0,0,28000,918,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
6,"vigilence6","FALSE",1623671177493,13101,13088,1623671164392,1623671164405,0,4,38,NA,208,0,"TRUE",6,0.3293,640,512,1,6.5,20,0,1,0,"0","1",1599,"NaN",NA,10060,7499,5040,2517,NA,NA,0,60735,78.393,-13.412,-13.412,0.12585,10571,4071,0,0,0,0,28000,2517,"sub131",TRUE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623671178162,13770,13757,1623671164392,1623671164405,0,4,38,38,246,0,"TRUE",6,0.3628,640,512,1,6.5,20,0,1,0,"0","0",2268,"NaN",NA,10729,8168,5709,669,NA,NA,0,61404,79.062,-12.743,-12.743,0.03345,10571,4071,0,0,0,0,28000,3186,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623671180338,15946,15933,1623671164392,1623671164405,0,4,8,8,254,0,"TRUE",6,0.4715,640,512,1,6.5,20,0,1,0,"0","0",2176,"NaN",NA,12905,10344,7885,2845,NA,NA,0,63580,81.238,-10.567,-10.567,0.14225,10571,4071,0,0,0,0,28000,5362,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623671182137,17745,17732,1623671164392,1623671164405,0,4,68,68,322,0,"TRUE",6,0.5615,640,512,1,6.5,20,0,1,0,"0","0",1799,"NaN",NA,14704,12143,9684,4644,NA,NA,0,65379,83.037,-8.768,-8.768,0.2322,10571,4071,0,0,0,0,28000,7161,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
2,"hide","TRUE",1623671183472,19080,19067,1623671164392,1623671164405,0,4,26,NA,322,0,"TRUE",6,0.6282,640,512,1,6.5,20,0,1,0,"0","0",1335,"NaN",NA,16039,13478,11019,5979,NA,NA,0,66714,84.372,-7.433,-7.433,0.29895,10571,4071,0,0,0,0,28000,8496,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
2,"hide","FALSE",1623671183937,19545,19532,1623671164392,1623671164405,0,4,26,NA,322,0,"TRUE",6,0.6515,640,512,1,6.5,20,0,1,0,"0","0",1800,"NaN",NA,16504,13943,11484,6444,NA,NA,0,67179,84.837,-6.968,-6.968,0.3222,10571,4071,0,0,0,0,28000,8961,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
6,"vigilence6","TRUE",1623671203553,39161,11130,1623671164392,1623671192423,0,4,12,NA,524,0,"TRUE",6,0.4314,640,512,1,2.5,20,1,2,0,"0","1",2068,"NaN",11335,8747,7058,2629,368,NA,NA,0,86795,104.453,-11.37,-11.37,0.0184,10762,8262,0,0,0,0,24000,368,"sub131",TRUE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623671203916,39524,11493,1623671164392,1623671192423,0,4,12,12,536,0,"TRUE",6,0.4496,640,512,1,2.5,20,1,2,0,"0","0",2431,"NaN",11698,9110,7421,2992,363,NA,NA,0,87158,104.816,-11.007,-11.007,0.01815,10762,8262,0,0,0,0,24000,731,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
1,"forage","FALSE",1623671205916,41524,13493,1623671164392,1623671192423,0,4,39,39,575,0,"TRUE",6,0.5495,640,512,1,2.5,20,1,2,0,"0","0",2000,"NaN",13698,11110,9421,4992,2363,NA,NA,0,89158,106.816,-9.007,-9.007,0.11815,10762,8262,0,0,0,0,24000,2731,"sub131",FALSE,"sched9_17Jan20_45min_shuffledv1.json"
