,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
447,6,252,6.22,-18,10,0,-15,12.2,6.8,31,deactivation
448,7,538,9.03,-58,-32,40,-59.1,-29.8,34,31,activation
449,7,282,7.34,62,-44,-8,58.8,-40.5,-2.88,31,deactivation
450,8,753,7.61,-32,18,12,-35.6,2.41,0.56,31,activation
451,8,431,6.64,-34,-76,-38,-31.4,-77.5,-35.4,31,deactivation
452,9,1106,10.4,62,-38,34,59.3,-34.2,33.9,31,activation
453,9,592,13.3,-42,-24,50,-37.1,-24.7,58.3,31,deactivation
454,1,82,8.39,30,36,36,31.9,37.7,36.7,32,activation
455,1,82,5.62,-10,16,-2,-10.8,12.1,-6.99,32,deactivation
456,10,1472,8.44,22,-44,-20,17.6,-56.7,-21.2,32,activation
457,10,1015,7.19,6,-80,34,-2.37,-75.5,31.3,32,deactivation
458,11,1637,6.49,-6,-22,14,-2.17,-21.4,-2.75,32,activation
459,11,1268,7.72,10,-16,40,3.42,-34.8,42.6,32,deactivation
460,12,9811,17.1,-56,0,40,-17.8,-6.47,50.4,32,activation
461,12,1412,7.55,32,-86,-4,45.1,-66,15.3,32,deactivation
462,13,2480,6.69,42,-16,10,32.3,-3.67,1.39,32,deactivation
463,14,2881,8.21,-36,-18,40,-24.6,-25.4,-7.18,32,deactivation
464,2,91,8.26,32,24,6,31.9,23.4,7.91,32,activation
465,2,89,6.71,-10,-12,44,-10.1,-9.54,42.1,32,deactivation
466,3,132,10.1,22,-60,62,22.7,-57.6,59.4,32,activation
467,3,129,4.94,22,-32,-24,20.9,-33.1,-33.3,32,deactivation
468,4,206,6.24,16,16,12,15.1,12.2,7.09,32,activation
469,4,158,5.8,62,-24,-6,62.6,-28.1,-7.44,32,deactivation
470,5,216,6.88,-8,8,8,-15.4,8.8,6.52,32,activation
471,5,397,6.43,2,34,20,2.36,42.2,10.1,32,deactivation
472,6,220,7.13,-26,-58,-20,-26.4,-58,-23.6,32,activation
473,6,467,5.31,-28,-70,-38,-21.6,-73.7,-32.4,32,deactivation
474,7,225,6.41,28,-52,-50,19,-59.5,-48.9,32,activation
475,7,506,6.48,-46,-70,0,-43,-77.2,6.07,32,deactivation
476,8,521,10.5,-30,34,36,-37.1,39.3,32.2,32,activation
477,8,559,8.29,52,-18,56,32.5,-24.6,57,32,deactivation
478,9,576,9.75,8,-80,-10,15.5,-82.9,-4.84,32,activation
479,9,614,5.55,42,40,12,45.3,45.2,7.98,32,deactivation
480,1,83,5.61,-10,16,-2,-10.8,12.2,-7,33,activation
481,1,83,8.32,30,36,36,31.9,37.7,36.7,33,deactivation
482,10,1026,7.2,-10,-82,42,-2.58,-75.2,31.3,33,activation
483,10,1472,8.4,22,-44,-20,17.7,-56.7,-21.2,33,deactivation
484,11,1270,7.33,12,-16,40,3.42,-34.8,42.6,33,activation
485,11,1639,6.34,16,-22,16,-2.17,-21.4,-2.76,33,deactivation
486,12,1409,7.42,32,-86,-4,45.1,-66.1,15.4,33,activation
487,12,9814,15.5,-56,0,40,-17.8,-6.42,50.3,33,deactivation
488,13,2485,6.81,44,-14,6,32.3,-3.61,1.36,33,activation
489,14,2866,7.47,-36,-18,40,-24.7,-25.3,-7.08,33,activation
490,2,88,6.58,-10,-12,44,-10.1,-9.61,42,33,activation
491,2,89,7.88,34,20,8,31.8,23.5,7.82,33,deactivation
492,3,127,4.84,22,-32,-40,20.9,-33.1,-33.4,33,activation
493,3,133,9.84,22,-60,62,22.7,-57.6,59.4,33,deactivation
494,4,157,5.84,68,-28,-4,62.5,-28.1,-7.39,33,activation
495,4,205,6.35,16,16,12,15.1,12.2,7.09,33,deactivation
496,5,398,6.86,2,34,20,2.35,42.1,10.1,33,activation
497,5,217,5.8,-8,8,8,-15.5,8.82,6.51,33,deactivation
498,6,470,5.36,-34,-62,-40,-21.9,-73.6,-32.6,33,activation
499,6,220,6.79,-28,-54,-22,-26.4,-58,-23.6,33,deactivation
500,7,499,6.09,-46,-70,0,-43.1,-77.1,6.04,33,activation
501,7,227,6.28,28,-52,-50,19,-59.4,-48.9,33,deactivation
502,8,554,8.86,22,-28,70,32.6,-24.5,57,33,activation
503,8,520,10.1,-30,34,36,-37.1,39.3,32.2,33,deactivation
504,9,627,5.56,42,40,12,45.1,45.6,7.9,33,activation
505,9,576,9.78,8,-80,-10,15.6,-82.9,-4.85,33,deactivation
506,1,87,4.96,-6,-82,-18,-6.23,-76,-27.3,34,activation
507,1,102,7.24,64,-14,16,60.6,-13,22.2,34,deactivation
508,10,487,6.69,-32,-12,0,-32.4,-9.81,4.32,34,activation
509,10,1179,7.19,-52,-42,2,-54.7,-40.1,-3.21,34,deactivation
510,11,526,9.18,56,-44,24,58.5,-39.9,34.4,34,activation
511,11,1273,6.13,-14,-26,12,-3.79,-22.8,-7.82,34,deactivation
512,12,1058,6.52,36,-24,16,33.8,-4.74,3.08,34,activation
513,12,2462,8.96,20,-44,-20,26.7,-67.2,-31.8,34,deactivation
514,13,4760,13.1,-48,-64,14,-31.8,-68.2,3.09,34,activation
515,13,12476,17.1,-60,6,28,-25.9,15.1,35.9,34,deactivation
516,14,8318,14.5,52,-64,12,25.2,-56.4,17,34,activation
517,2,98,6.32,-64,-30,34,-59.9,-31.4,39.5,34,activation
518,2,149,5.63,20,34,0,20.8,34.2,0.055,34,deactivation
519,3,116,6.19,-48,-12,34,-41.2,-16.4,37.6,34,activation
520,3,153,5.38,-36,-72,-38,-37.2,-75.2,-37,34,deactivation
521,4,169,8.62,22,-28,66,22.5,-30.7,63.3,34,activation
522,4,161,5.74,-2,-42,36,-8.81,-44.4,30.4,34,deactivation
523,5,187,7.36,18,-46,-48,15.1,-46.4,-47.2,34,activation
524,5,199,7.47,-8,10,12,-8.28,12.6,8.33,34,deactivation
525,6,192,7.98,50,-18,54,43.1,-17.8,46.9,34,activation
526,6,219,7.11,8,12,12,10.1,12.4,6.76,34,deactivation
527,7,252,6.61,50,42,18,44.5,45.3,18.5,34,activation
528,7,359,12.8,60,14,22,58.3,6.48,30.9,34,deactivation
529,8,285,6.23,0,-20,34,2.24,-25.3,29.1,34,activation
530,8,729,7.56,-62,-14,16,-42.2,-44.5,28.7,34,deactivation
531,9,422,6.37,-8,-54,-50,-13.4,-47.6,-48.9,34,activation
532,9,969,8.64,8,-82,-6,28.5,-60.5,7.97,34,deactivation
533,1,98,5.93,-28,-60,-22,-28.5,-56.4,-21.1,35,activation
534,1,2863,7.29,2,-40,-26,-5.54,-45.5,-35.6,35,deactivation
535,10,1862,8.99,-2,-40,24,0.555,-53.2,25.6,35,activation
536,11,2385,10.1,12,-96,-2,17.2,-69.7,-11.7,35,activation
537,12,6824,11.4,2,6,72,-30.9,-0.97,48.5,35,activation
538,2,100,5.58,8,-16,14,10,-18.3,12,35,activation
539,2,35654,9.19,38,-78,6,8.15,-15.3,20.4,35,deactivation
540,3,115,5.12,2,70,-2,0.611,59.7,-1.65,35,activation
541,4,139,5.1,0,-28,-38,-3.13,-26.7,-35,35,activation
542,5,166,7.09,14,-60,-50,23.5,-59.3,-47.6,35,activation
543,6,333,7.34,22,14,-2,19,13.5,4.69,35,activation
544,7,414,7.49,-22,6,10,-17.6,10.5,5.57,35,activation
545,8,460,6.28,-8,-20,4,-8.85,-19.8,7.6,35,activation
546,9,507,6.33,-54,-46,12,-58.6,-41.7,0.595,35,activation
547,1,2860,7.27,2,-40,-26,-5.55,-45.6,-35.6,36,activation
548,1,98,6.03,-28,-60,-22,-28.4,-56.4,-21,36,deactivation
549,10,1878,9.35,-2,-40,24,0.559,-53.2,25.5,36,deactivation
550,11,2389,9.94,12,-96,-2,17.2,-69.7,-11.7,36,deactivation
551,12,6822,11.3,2,6,72,-30.8,-1.25,48.8,36,deactivation
552,2,35640,9.74,56,-38,44,8.14,-15.3,20.4,36,activation
553,2,100,6.17,6,-18,10,9.99,-18.3,12,36,deactivation
554,3,117,5.04,2,70,-2,0.59,59.6,-1.69,36,deactivation
555,4,139,5.1,0,-28,-38,-3.13,-26.7,-35,36,deactivation
556,5,166,7.36,14,-60,-50,23.7,-59.4,-47.6,36,deactivation
557,6,334,7.33,22,14,-2,19,13.6,4.72,36,deactivation
558,7,417,7.65,-22,8,2,-17.6,10.5,5.55,36,deactivation
559,8,459,6.13,-10,-22,8,-8.86,-19.8,7.63,36,deactivation
560,9,510,6.68,-54,-46,12,-58.6,-41.7,0.585,36,deactivation
561,1,80,4.91,-22,10,-4,-20.5,10.7,-6.71,37,activation
562,1,101,4.5,8,-86,18,8.26,-85,15.1,37,deactivation
563,10,522,5.73,54,-34,2,56,-33.7,0.87,37,deactivation
564,11,1563,5.16,-64,-44,8,-55.7,-45.9,14.7,37,deactivation
565,12,2709,5.71,-38,30,-12,-42.3,26.4,2.81,37,deactivation
566,13,2818,5.55,56,24,14,44.7,23.5,2.98,37,deactivation
567,14,3698,5.27,-6,20,50,0.985,37.2,42.2,37,deactivation
568,2,125,4.6,-16,-52,-48,-19.3,-50,-47.5,37,activation
569,2,148,4.72,12,8,14,10.8,6.48,14.6,37,deactivation
570,3,143,5.19,2,2,52,-0.418,1.81,56.8,37,activation
571,3,149,4.87,12,-6,56,4.92,-14,44.3,37,deactivation
572,4,146,5.96,28,-64,50,24.8,-66.9,48.2,37,activation
573,4,198,4.51,-30,-80,-38,-26.4,-74.8,-34.6,37,deactivation
574,5,203,6.15,0,-36,26,0.976,-32.1,27.5,37,activation
575,5,208,4.84,40,-26,22,46.1,-25.7,22,37,deactivation
576,6,669,5.57,18,-60,-44,16.6,-57.8,-45.4,37,activation
577,6,217,5.05,50,-22,52,41.6,-22.3,54.1,37,deactivation
578,7,7397,8.2,-16,-98,14,-0.164,-63.4,13.9,37,activation
579,7,220,4.64,-50,-8,-8,-52.5,-11.6,-8.9,37,deactivation
580,8,304,4.3,-48,4,-16,-48.1,4.11,-25.4,37,deactivation
581,9,347,5.31,62,-30,38,58.7,-42.7,37.7,37,deactivation
582,1,76,4.22,8,-46,16,8.68,-40.2,19.1,38,activation
583,1,91,4.96,30,18,52,28.9,23.2,52.2,38,deactivation
584,10,292,6.3,-42,-36,48,-36.5,-40,45.8,38,activation
585,10,273,5.11,-46,-72,32,-45.9,-64.9,36.6,38,deactivation
586,11,419,6.94,36,-44,-20,35.1,-45.2,-14.5,38,activation
587,11,376,7.35,18,-74,-12,12.2,-70.1,-7.8,38,deactivation
588,12,590,5.84,8,-28,-2,1.25,-22.2,-4.41,38,activation
589,12,387,7.36,8,-92,-8,20.4,-92.4,3.09,38,deactivation
590,13,656,10.7,-20,-96,12,-16.8,-87.4,-0.832,38,activation
591,13,397,6.02,54,-54,42,50.1,-57.1,42,38,deactivation
592,14,1242,8.01,34,20,12,29.4,17.3,3.83,38,activation
593,15,6361,8.72,-26,-8,66,-7.05,4.55,45.1,38,activation
594,2,97,5.92,20,-60,24,18.8,-59.1,23.4,38,activation
595,2,113,5.03,4,-40,74,-0.895,-38.7,75.6,38,deactivation
596,3,111,5,-28,36,32,-28.4,42.3,28.1,38,activation
597,3,116,5.18,0,-48,38,0.396,-53.4,42.6,38,deactivation
598,4,175,5.97,34,36,36,32.4,40.9,35.2,38,activation
599,4,125,4.48,0,-26,46,-1.18,-30.4,40.3,38,deactivation
600,5,215,5.12,-6,16,4,-11.1,8.97,8.32,38,activation
601,5,141,4.51,16,38,56,15.8,41,50.8,38,deactivation
602,6,229,6.21,44,-34,48,36.8,-38.9,43.3,38,activation
603,6,153,4.95,-26,32,50,-21.5,32.2,47.5,38,deactivation
604,7,235,6.85,-16,-74,36,-13.8,-66.3,44,38,activation
605,7,154,4.91,42,52,-6,44.4,48.1,-5.77,38,deactivation
606,8,258,5.83,-42,-58,-12,-38.8,-48.1,-16.4,38,activation
607,8,193,5.1,-58,-26,14,-57.8,-24.2,13.1,38,deactivation
608,9,261,7.62,18,-70,54,15.7,-60.2,58.9,38,activation
609,9,209,4.96,64,-18,14,63.5,-14.6,9.32,38,deactivation
610,1,87,5.07,30,18,52,28.7,23.2,52.3,39,activation
611,1,76,4.17,8,-42,22,8.68,-40.2,19.1,39,deactivation
612,10,273,5.1,-46,-72,32,-45.9,-64.9,36.6,39,activation
613,10,293,6.26,-42,-36,48,-36.5,-40,45.8,39,deactivation
614,11,374,7.19,18,-74,-12,12.4,-70.1,-7.92,39,activation
615,11,445,6.95,36,-44,-20,34.6,-44.8,-13.7,39,deactivation
616,12,387,7.36,8,-92,-8,20.3,-92.4,3.02,39,activation
617,12,589,5.84,8,-28,-2,1.24,-22.2,-4.44,39,deactivation
618,13,394,5.88,54,-54,42,50.1,-57.1,42,39,activation
619,13,653,10,-20,-96,20,-16.8,-87.4,-0.898,39,deactivation
620,14,1246,8.07,34,20,12,29.4,17.3,3.84,39,deactivation
621,15,6364,8.54,-26,-8,66,-7.05,4.54,45.1,39,deactivation
622,2,112,5.06,4,-40,74,-0.895,-38.8,75.7,39,activation
623,2,97,5.87,20,-60,24,18.8,-59.1,23.4,39,deactivation
624,3,113,5.16,2,-46,38,0.414,-53.3,42.7,39,activation
625,3,111,5.32,-28,36,32,-28.4,42.3,28.2,39,deactivation
626,4,124,4.51,2,-26,48,-1.17,-30.4,40.2,39,activation
627,4,177,6.12,34,34,36,32.3,40.9,35.2,39,deactivation
628,5,141,4.59,16,38,52,15.8,40.9,50.8,39,activation
629,5,214,5.81,-8,6,8,-11.2,8.98,8.31,39,deactivation
630,6,151,4.7,42,52,-6,44.4,48.1,-5.91,39,activation
631,6,230,6.34,44,-34,48,36.7,-39,43.3,39,deactivation
632,7,152,4.94,-26,30,50,-21.5,32.1,47.6,39,activation
633,7,242,7.01,-16,-74,36,-13.8,-66.3,43.6,39,deactivation
634,8,194,5.1,-58,-26,14,-57.7,-24.2,13.1,39,activation
635,8,258,6.02,-38,-42,-22,-38.8,-48.1,-16.4,39,deactivation
636,9,204,4.96,64,-18,14,63.5,-14.4,9.27,39,activation
637,9,262,7.55,18,-70,54,15.7,-60.2,58.9,39,deactivation
638,1,75,4.07,24,-38,-16,29.3,-48.5,-13.9,41,activation
639,2,87,4.4,10,-90,14,10.2,-88.6,7.28,41,activation
640,3,167,4.45,-40,-82,14,-37.5,-83.6,11.8,41,activation
641,4,186,4.2,-30,-58,-14,-31.2,-63.8,-12,41,activation
642,1,74,4.15,24,-38,-16,29.3,-48.6,-13.8,42,deactivation
643,2,87,4.43,10,-90,14,10.2,-88.6,7.27,42,deactivation
644,3,168,4.52,-40,-82,14,-37.6,-83.6,11.8,42,deactivation
645,4,186,4.29,-30,-58,-14,-31.2,-63.9,-12,42,deactivation
646,1,60,3.94,-32,-50,64,-26.7,-51.7,66.3,43,activation
647,1,595,5.01,2,-78,32,1.36,-66.5,29.5,43,deactivation
648,10,160,4.89,-28,28,6,-30.4,23.3,-0.858,43,activation
649,11,207,4.61,26,-8,50,28.8,-7.21,59.2,43,activation
650,12,262,4.73,-34,-72,-14,-29.8,-63.6,-10.6,43,activation
651,13,301,5.01,32,26,4,35.1,25.4,1.2,43,activation
652,14,304,4.91,36,-42,-18,31.3,-55.9,-12.1,43,activation
653,15,323,4.56,-34,-84,14,-39.3,-79.6,11.4,43,activation
654,2,62,4.21,-12,-98,14,-12.4,-94.9,12.7,43,activation
655,3,71,4.45,36,16,28,41.4,11.5,28.3,43,activation
656,4,86,4.25,-22,-10,68,-24.5,-10.1,59.6,43,activation
657,5,98,4.2,10,2,52,8.48,8.03,51.4,43,activation
658,6,100,4.6,28,-72,32,28.4,-75.4,32.3,43,activation
659,7,114,4.56,-16,-76,42,-19.6,-75.7,39.8,43,activation
660,8,132,4.36,36,-46,64,25.5,-56.5,59.6,43,activation
661,9,137,4.57,-48,-20,60,-45.5,-12.6,54.3,43,activation
662,1,73,4.19,-12,-52,-50,-11.6,-52,-49.6,46,activation
663,1,202,4.83,-44,-70,42,-42.6,-69.9,41.6,46,deactivation
664,10,753,4.99,0,-48,-20,7.76,-56.3,-21.3,46,activation
665,11,938,5.1,-48,-12,52,-46.8,-17,45.3,46,activation
666,12,1039,5.46,34,-4,54,24.4,-1.73,57.2,46,activation
667,2,113,4.36,-24,-46,64,-25.1,-49.7,65.1,46,activation
668,2,815,5.6,0,-70,46,-0.27,-75.2,26.7,46,deactivation
669,3,130,4.18,-20,-66,-22,-15.5,-67.1,-22.1,46,activation
670,4,134,4.42,60,-14,28,60.1,-19.1,26.4,46,activation
671,5,142,4.84,-38,-4,16,-49.1,5.3,22.5,46,activation
672,6,148,4.59,-32,20,12,-32.4,21.6,4.12,46,activation
673,7,164,4.71,44,34,30,32.2,33.6,31.3,46,activation
674,8,231,4.35,30,-42,66,23.1,-51.5,61.1,46,activation
675,9,647,5.88,32,26,-2,41.3,20.8,9.2,46,activation
676,1,65,4.81,2,-30,78,2.83,-37.4,76.9,47,activation
677,1,68,4.13,22,-8,64,22.1,-10.8,64.8,47,deactivation
678,10,119,4.71,-20,-64,52,-17.5,-55.9,55,47,deactivation
679,11,137,4.28,-52,0,34,-44.4,3.03,33,47,deactivation
680,12,167,4.28,6,12,48,8.96,15.8,51.2,47,deactivation
681,13,193,4.42,36,-80,24,29.6,-76.7,31.8,47,deactivation
682,14,200,5.16,34,26,6,33.2,25.4,2.52,47,deactivation
683,15,225,4.61,14,-92,18,16.4,-88.7,19.6,47,deactivation
684,16,303,4.59,34,-42,-6,29.6,-47.7,-9.54,47,deactivation
685,17,436,4.84,-20,-44,-6,-33.3,-51.7,-9.74,47,deactivation
686,18,605,4.61,-16,-92,20,-24.6,-83.8,19.1,47,deactivation
687,2,80,5.66,46,-70,-24,42.4,-71.2,-23.7,47,activation
688,2,73,4.42,-36,0,48,-40,-3.63,47.6,47,deactivation
689,3,84,4.65,54,-64,36,52.4,-63.4,33.7,47,activation
690,3,73,4.31,52,6,36,53.6,6.96,34.5,47,deactivation
691,4,401,5.76,0,-64,66,1.17,-64.7,46.8,47,activation
692,4,77,4.49,36,10,32,37.4,13,29.2,47,deactivation
693,5,79,4.4,-26,28,2,-29,25.4,-0.679,47,deactivation
694,6,89,4.49,30,-12,52,38.2,-10.9,52.2,47,deactivation
695,7,98,4.38,-36,-78,-10,-31.8,-77.3,-7.7,47,deactivation
696,8,102,4.31,-2,10,62,-9.79,9.14,56.9,47,deactivation
697,9,115,4.4,26,0,10,26.4,6.67,6.57,47,deactivation
698,1,67,4.23,22,-8,64,22.1,-10.8,64.9,48,activation
699,1,65,5.02,2,-30,78,2.82,-37.5,76.9,48,deactivation
700,10,167,4.29,8,14,48,9.02,15.9,51.1,48,activation
701,11,197,4.52,24,-78,40,29.5,-76.6,31.9,48,activation
702,12,200,5.25,34,26,6,33.3,25.4,2.49,48,activation
703,13,213,4.38,-36,0,50,-42.8,0.673,38.2,48,activation
704,14,226,4.9,12,-94,16,16.5,-88.7,19.5,48,activation
705,15,306,4.46,34,-42,-6,29.6,-47.7,-9.41,48,activation
706,16,438,4.91,-20,-44,-6,-33.3,-51.7,-9.73,48,activation
707,17,597,4.58,-16,-92,20,-24.7,-83.9,18.9,48,activation
708,2,71,4.31,52,6,36,53.7,6.85,34.6,48,activation
709,2,80,5.6,46,-70,-24,42.4,-71.1,-23.7,48,deactivation
710,3,78,4.45,36,10,32,37.5,13,29.1,48,activation
711,3,85,4.72,52,-62,32,52.4,-63.4,33.7,48,deactivation
712,4,79,4.38,-26,26,2,-29,25.4,-0.668,48,activation
713,4,403,5.85,0,-64,66,1.17,-64.8,46.9,48,deactivation
714,5,88,4.33,40,-12,50,38.3,-10.8,52.2,48,activation
715,6,90,4.38,-36,-78,-10,-31.3,-76.8,-8.46,48,activation
716,7,103,4.33,-4,10,64,-9.81,9.09,56.8,48,activation
717,8,117,4.35,26,12,4,26.4,6.67,6.55,48,activation
718,9,120,4.65,-20,-64,52,-17.6,-56,55.1,48,activation
719,1,67,5,-8,8,4,-8.34,3.85,10.3,49,activation
720,1,59,4.31,-4,-48,40,-5.99,-45.6,39,49,deactivation
721,10,406,6.54,12,-52,68,14.2,-59,61.9,49,activation
722,10,265,4.52,-46,-68,42,-48.1,-59.9,37.6,49,deactivation
723,11,431,5.25,32,28,4,37.5,21,3.75,49,activation
724,11,299,4.99,40,-64,34,45.1,-62.4,39.4,49,deactivation
725,12,598,4.83,4,-22,2,-0.586,-19.3,4,49,activation
726,13,4676,6.6,-26,-10,70,-8.54,-5.83,53.5,49,activation
727,2,106,4.48,-32,-52,-30,-29.2,-52.8,-27.1,49,activation
728,2,64,4.5,-48,36,8,-45.9,36.3,11.1,49,deactivation
729,3,107,4.57,2,-28,-38,1.35,-27.6,-37.3,49,activation
730,3,65,4.43,-16,50,44,-17,48.9,42,49,deactivation
731,4,124,4.91,34,48,42,35,40.7,36.6,49,activation
732,4,76,4.83,8,-50,36,5.61,-52.2,39.7,49,deactivation
733,5,126,5.18,12,-36,46,12.5,-32.7,46.6,49,activation
734,5,85,4.12,20,32,54,18.6,35.5,53.8,49,deactivation
735,6,139,4.71,8,8,4,9.76,4.65,9.77,49,activation
736,6,115,4.28,-18,28,48,-16,31.8,55.6,49,deactivation
737,7,152,4.76,10,-56,-46,19.9,-54,-47.8,49,activation
738,7,120,4.58,-32,-78,-32,-34.7,-74.4,-32.8,49,deactivation
739,8,226,4.9,32,-46,-34,29.2,-49.8,-25.9,49,activation
740,8,147,5.22,-36,54,-6,-41.7,46.7,-3.56,49,deactivation
741,9,288,5.33,-40,16,6,-33.3,21.7,2.78,49,activation
742,9,152,4.65,-66,-42,4,-62,-38.7,-0.124,49,deactivation
743,1,100,4.6,38,-84,30,42.6,-78.6,30.3,50,activation
744,1,55,4.37,-58,8,26,-58.6,5.03,26.7,50,deactivation
745,2,109,4.49,10,-78,40,9.41,-83,37.5,50,activation
746,2,174,4.97,-20,-10,66,-18,-9.07,65.3,50,deactivation
747,3,156,4.14,-40,-82,26,-39.4,-82.3,27.4,50,activation
748,1,55,4.36,-58,6,28,-58.6,5.02,26.7,51,activation
749,1,100,4.45,40,-78,34,42.6,-78.6,30.3,51,deactivation
750,2,174,5.08,-20,-10,66,-18,-9.16,65.3,51,activation
751,2,109,4.54,10,-78,40,9.41,-83,37.5,51,deactivation
752,3,155,4.12,-38,-84,26,-39.4,-82.3,27.4,51,deactivation
753,1,57,4.02,32,-82,34,33.6,-83.5,32.2,52,activation
754,1,60,4.14,56,-6,16,57.5,-6.24,15.4,52,deactivation
755,10,880,4.93,22,-86,-12,28.4,-62,-16.4,52,activation
756,10,142,4.59,66,-24,8,62.8,-22.3,7.15,52,deactivation
757,11,973,5.75,-38,-22,46,-39.7,-21.2,58.8,52,activation
758,11,229,4.54,-44,-72,-32,-39.9,-66.8,-35.4,52,deactivation
759,12,562,4.4,20,-32,52,26.2,-19.9,41,52,deactivation
760,13,705,4.49,38,54,-4,26.8,48.4,3.4,52,deactivation
761,14,1382,4.36,16,-24,26,31.3,-50.8,27.8,52,deactivation
762,15,2323,5.09,-26,-40,10,-27.6,-41.6,25.2,52,deactivation
763,2,99,4.22,-28,-80,18,-27.2,-87.9,23.4,52,activation
764,2,60,3.9,68,-36,-4,55.1,-36.7,-9.06,52,deactivation
765,3,100,4.31,12,-60,-50,16.9,-57.4,-49,52,activation
766,3,62,4.08,0,12,16,1.57,9.7,16.2,52,deactivation
767,4,114,4.73,52,-68,6,50.3,-66.8,7.61,52,activation
768,4,75,4.4,-18,14,36,-14.6,22.4,38.7,52,deactivation
769,5,119,4.75,-12,-28,40,-8.52,-26.3,44.4,52,activation
770,5,87,4.23,36,42,12,38.5,45.3,14.5,52,deactivation
771,6,123,4.29,-8,-20,10,-8.39,-18.1,9.42,52,activation
772,6,93,4.48,12,30,56,14.4,27.6,52.7,52,deactivation
773,7,156,4.62,-38,-46,-22,-35.5,-49.1,-19.3,52,activation
774,7,95,4.35,46,34,30,43.2,26.4,36.3,52,deactivation
775,8,207,4.97,0,0,56,-1.61,4.71,47.1,52,activation
776,8,110,4.46,-62,-24,10,-58.3,-14.6,5.65,52,deactivation
777,9,631,5.91,-44,-84,-8,-40.2,-74.8,-6.58,52,activation
778,9,136,4.46,-20,52,6,-20.3,46.8,9.72,52,deactivation
779,1,55,4.06,48,-14,50,49.8,-15.6,54.4,53,activation
780,1,65,4.49,48,-64,6,45.9,-66.7,3.58,53,deactivation
781,2,78,4.44,22,-64,26,20.6,-61,23.7,53,activation
782,2,82,4.68,18,-46,-20,17.2,-49,-20.1,53,deactivation
783,3,148,4.46,-36,-82,32,-36,-83.2,29.9,53,activation
784,3,241,5.84,-40,-22,60,-38.6,-25.3,56.4,53,deactivation
785,4,157,4.36,6,26,38,5.11,19.8,43.8,53,activation
786,1,64,4.43,48,-66,8,45.9,-66.7,3.73,54,activation
787,1,78,4.44,22,-64,26,20.6,-61,23.7,54,deactivation
788,2,82,4.71,18,-46,-22,17.3,-49,-20.2,54,activation
789,2,147,4.46,-36,-82,32,-36,-83.1,29.9,54,deactivation
790,3,236,5.98,-40,-22,60,-38.6,-25.3,56.3,54,activation
791,3,159,4.37,6,26,38,5.06,19.9,43.8,54,deactivation
792,1,82,4.64,-6,2,8,-7.6,5.9,8.53,55,activation
793,1,68,4.26,12,-68,-2,15,-61.2,-3.74,55,deactivation
794,10,4849,7.86,-48,-16,52,-24.9,-18.7,56.9,55,activation
795,10,286,4.7,-64,-40,0,-61.6,-40.8,0.188,55,deactivation
796,11,398,5.13,40,-14,16,46.2,-14.5,13.5,55,deactivation
797,12,502,5.08,38,-72,44,46,-63.4,37.1,55,deactivation
798,13,521,5.37,-22,20,52,-30.2,21.5,50.7,55,deactivation
799,14,563,4.87,-8,-50,38,0.0799,-50.1,38.2,55,deactivation
800,15,589,4.89,-10,-86,32,0.468,-86.8,23.8,55,deactivation
801,16,683,5.73,50,-16,54,27.1,-26.4,60.7,55,deactivation
802,17,698,5.06,-50,-50,48,-46.2,-59,42,55,deactivation
803,2,137,5.92,-48,-24,18,-52.9,-21.3,20.5,55,activation
804,2,69,4.27,46,42,14,46.7,38.9,19.1,55,deactivation
805,3,178,5.84,-56,10,36,-55.8,4.65,35.6,55,activation
806,3,71,4.06,-56,-26,4,-56,-20.9,1.82,55,deactivation
807,4,317,4.73,8,10,6,9.72,-4.35,11.6,55,activation
808,4,73,4.32,16,-40,-4,17.4,-36.8,-8.52,55,deactivation
809,5,495,6.29,10,-58,64,16.5,-56.2,64.1,55,activation
810,5,86,4.16,-22,-30,24,-20.9,-39.6,28.5,55,deactivation
811,6,517,5.25,-14,-22,12,-6.68,-21.8,3.5,55,activation
812,6,90,4.27,-44,-80,26,-38.8,-79.5,30.9,55,deactivation
813,7,555,5.99,44,-10,56,27.4,-7.04,60.3,55,activation
814,7,119,4.64,-20,-68,18,-16,-64.7,16,55,deactivation
815,8,1428,6.29,-24,-94,4,-34.1,-71.2,-9.55,55,activation
816,8,186,5.26,-12,-40,-6,-20.7,-42.2,-7.88,55,deactivation
817,9,2435,6.03,24,-50,-20,22.5,-60.1,-18.9,55,activation
818,9,262,4.66,-38,36,14,-42.9,36.9,18.8,55,deactivation
819,1,141,4.13,-46,-16,28,-37.2,-13.5,22.6,56,activation
820,1,98,6.97,-40,-24,64,-38.6,-26.4,59.6,56,deactivation
821,2,148,4.64,-56,-2,-2,-46.8,-15.2,4,56,activation
822,2,255,4.89,-12,-68,-6,-15.5,-63.2,-6.03,56,deactivation
823,3,172,4.41,-34,-54,-28,-38.1,-52.9,-31.2,56,activation
824,3,413,4.88,12,-52,38,-0.874,-49.7,39.7,56,deactivation
825,4,216,4.31,4,-36,-38,5.5,-30,-37.5,56,activation
826,4,1436,6.36,-44,-74,-16,-49.1,-64.3,4.6,56,deactivation
827,5,646,6.16,12,-56,62,16.7,-55,59.4,56,activation
