,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
168,9,587,5.87,20,-14,-14,28.3,-14.1,-14.7,13,deactivation
169,1,82,4.42,0,20,42,0.432,24.3,40.7,14,activation
170,1,167,4.27,20,-96,8,26.1,-90.1,9.41,14,deactivation
171,2,198,4.38,-60,-4,24,-54.2,-7.22,20,14,deactivation
172,3,204,4.48,62,-8,20,60.3,-3.05,27.6,14,deactivation
173,1,62,4.01,2,-38,4,-0.178,-34,5.87,15,activation
174,1,78,3.98,10,-24,62,5.48,-27.9,63.9,15,deactivation
175,1,231,5.57,22,-76,32,16.1,-77.9,30.9,16,activation
176,1,198,5.27,0,-94,2,4.65,-95.2,14.2,16,deactivation
177,2,34152,6.62,6,20,56,5.39,-6.7,27.2,16,activation
178,2,240,5.69,-42,50,24,-41.7,45.3,16.7,16,deactivation
179,3,300,5.61,22,-62,48,31.8,-64.7,44.9,16,deactivation
180,4,422,5.72,2,-72,40,0.379,-58.8,58,16,deactivation
181,5,883,6.2,-36,-70,52,-38.8,-61.7,46.1,16,deactivation
182,6,5949,7.25,-2,-72,-2,4.88,-65.1,-16.5,16,deactivation
183,1,40504,8.68,18,-76,-16,3.17,-16,16.9,17,activation
184,1,93,5.82,-8,-22,12,-10.5,-19.5,10.8,17,deactivation
185,10,736,9.76,52,-62,30,55.4,-57,16.3,17,deactivation
186,11,840,9.56,-60,-54,14,-58.7,-45.6,16.5,17,deactivation
187,12,3305,10.2,2,-42,26,-1.07,-55.1,33.8,17,deactivation
188,2,94,6.29,-46,-28,48,-43.6,-34.1,49.4,17,deactivation
189,3,102,6.62,60,-22,16,50.5,-24,14.5,17,deactivation
190,4,110,4.81,34,-24,8,31.7,-16.1,4.12,17,deactivation
191,5,130,5.76,-34,-22,10,-31.2,-19.7,4.64,17,deactivation
192,6,147,5.32,26,-40,-12,29.3,-40.6,-17.4,17,deactivation
193,7,213,5.69,-50,-72,22,-44.5,-78.5,20.9,17,deactivation
194,8,409,6.99,-44,-42,-16,-32.3,-44.5,-17.3,17,deactivation
195,9,548,6.1,-52,14,-2,-49.9,22.3,13.2,17,deactivation
196,1,80,4.46,44,-64,4,45.1,-65.3,5.38,18,activation
197,2,90,4.24,-12,14,4,-11.8,11.4,2.53,18,activation
198,3,110,4.31,-40,-10,64,-36.8,-24.8,63.4,18,activation
199,4,185,4.62,-2,-70,-38,0.757,-64.8,-35.7,18,activation
200,5,669,5.24,2,-64,-16,6.28,-57.6,-14.2,18,activation
201,1,81,4.24,4,-30,-10,6.42,-27.5,-5.91,19,activation
202,1,102,4.76,-30,-74,28,-35,-83.2,17,19,deactivation
203,10,1658,5.86,28,-4,56,8.45,4,55.3,19,activation
204,2,87,4.55,-34,-34,20,-33.4,-31.2,18.1,19,activation
205,2,116,4.84,30,-46,-6,29.9,-51,-11.4,19,deactivation
206,3,95,4.4,-14,-58,64,-19.7,-52.5,62.1,19,activation
207,3,128,4.45,40,-78,-14,40.5,-81.5,3.98,19,deactivation
208,4,143,4.47,-4,-62,-12,0.778,-61.1,-17.9,19,activation
209,4,142,5.1,-16,10,-6,-19.3,11.2,-4.74,19,deactivation
210,5,258,4.62,16,-48,66,11.9,-57.2,60.2,19,activation
211,5,166,4.67,-8,-74,32,-3.21,-70.6,35.2,19,deactivation
212,6,266,5.04,-40,14,10,-35.5,20,7.63,19,activation
213,6,227,5.14,-44,-76,-14,-45.1,-68.2,-11.6,19,deactivation
214,7,468,5.36,58,-38,44,56.7,-41.8,37.3,19,activation
215,7,232,4.99,18,12,-8,17.9,13.2,-4.85,19,deactivation
216,8,534,5.15,38,36,30,34,38.8,31.5,19,activation
217,8,303,5.69,2,-40,26,-0.301,-33.5,31.4,19,deactivation
218,9,687,5.5,36,28,6,42.9,21.9,8.02,19,activation
219,1,77,4.57,-12,-20,10,-11.3,-21.4,11.7,20,activation
220,1,67,4.4,-62,-10,-16,-61.6,-12.2,-14.3,20,deactivation
221,10,572,4.7,54,-52,42,51.8,-54.6,41.7,20,deactivation
222,11,1014,5.21,-44,-64,28,-55.1,-50.4,17.7,20,deactivation
223,12,1281,5.25,-44,24,0,-45.7,32.5,2.27,20,deactivation
224,13,1417,4.99,44,46,-8,46.2,39.3,2.24,20,deactivation
225,14,2106,6.1,0,28,58,-0.153,45.1,40.3,20,deactivation
226,2,81,5.51,-14,-68,28,-15.8,-63.8,26,20,activation
227,2,67,4,-22,-76,-30,-20.4,-78.9,-30.2,20,deactivation
228,3,85,4.61,-22,10,-6,-20.5,9.44,-1.49,20,activation
229,3,68,4.58,42,-14,-2,42.5,-13.8,-1.38,20,deactivation
230,4,263,5.44,8,-40,24,1.4,-33.8,23.5,20,activation
231,4,76,4.72,4,-82,36,7.86,-82.6,36.1,20,deactivation
232,5,311,5.32,-46,4,36,-52.3,5.51,30.9,20,activation
233,5,92,4.65,34,-36,56,37.8,-25.7,55,20,deactivation
234,6,1244,5.8,28,-78,-6,29.8,-55.1,-17.7,20,activation
235,6,114,4.34,42,12,50,42.4,18.4,45.7,20,deactivation
236,7,8590,8.83,-16,-98,10,-10.4,-39.3,42.8,20,activation
237,7,146,4.93,46,-28,20,48.7,-27,20.3,20,deactivation
238,8,236,4.39,-34,-74,-38,-34.8,-72,-38.6,20,deactivation
239,9,288,4.58,64,-46,6,62.9,-39,2.16,20,deactivation
240,1,91,6.21,-28,-96,10,-31,-92.7,10,21,activation
241,1,109,4.63,32,-32,-8,27,-37.9,-1.93,21,deactivation
242,10,447,6.17,8,12,2,12.3,8.48,10,21,deactivation
243,11,664,6.03,-50,-48,10,-54,-42.5,15.2,21,deactivation
244,12,914,5.84,6,-20,0,0.788,-22.9,-8.26,21,deactivation
245,13,2211,6.68,-42,16,-4,-37.6,19.1,3.2,21,deactivation
246,14,7027,8.27,0,12,62,15.7,13.8,32.7,21,deactivation
247,2,96,6.24,-62,-12,8,-60.3,-14.3,10.3,21,activation
248,2,120,7.13,-12,-94,-4,-14.8,-88.3,-1.72,21,deactivation
249,3,101,5.06,68,-18,12,65.7,-13.3,7.75,21,activation
250,3,143,6.02,32,40,34,30.6,46.7,29.9,21,deactivation
251,4,108,7.75,-42,-28,62,-38.2,-26.6,65.3,21,activation
252,4,144,5.15,6,58,40,8.72,53.8,38.9,21,deactivation
253,5,124,4.82,-22,-56,-46,-20.8,-50.2,-47.5,21,activation
254,5,150,5.01,-54,2,-14,-49.4,0.104,-15.8,21,deactivation
255,6,292,7.01,0,-48,70,-0.606,-41.5,74.1,21,activation
256,6,204,5.91,34,-46,-16,39.5,-45.2,-16.8,21,deactivation
257,7,552,5.55,12,-60,-50,16.5,-54.7,-46.2,21,activation
258,7,211,5.95,-12,0,18,-9.67,8.67,11.3,21,deactivation
259,8,656,6.17,0,-62,44,1.2,-50.7,42.9,21,activation
260,8,278,7.52,-42,-48,-12,-38.5,-45.1,-15.9,21,deactivation
261,9,2752,9.72,16,-98,6,19.1,-72.3,-6.92,21,activation
262,9,313,5.47,52,-2,-14,51.5,-16.2,-8.91,21,deactivation
263,1,72,6.2,-30,34,34,-32.9,35.2,35.3,22,activation
264,1,99,4.45,40,-12,20,42.4,-11.3,15.9,22,deactivation
265,10,658,5.82,32,22,10,37.8,21.2,3.64,22,activation
266,10,1341,5.43,28,-80,-24,27.7,-75.3,-35.1,22,deactivation
267,11,853,5.45,4,-28,-2,1.36,-21.1,2.02,22,activation
268,11,1932,6.21,-38,30,-14,-42.6,35.5,0.451,22,deactivation
269,12,3526,8.03,34,-78,-12,21.5,-57.5,-21.3,22,activation
270,12,2096,6.6,-60,-40,-6,-58.6,-29.4,-5.34,22,deactivation
271,13,16015,8.59,-22,-96,16,-8.58,-34.1,43.8,22,activation
272,13,2883,6.87,0,-42,36,-0.226,-57.3,27.9,22,deactivation
273,14,4534,6.74,-20,32,44,-3.19,47.3,28.8,22,deactivation
274,2,87,5.48,-26,44,30,-29.7,45.3,30.9,22,activation
275,2,113,4.91,34,-26,58,34.2,-26.4,61.4,22,deactivation
276,3,102,5.49,52,-44,20,62.1,-40.1,22,22,activation
277,3,166,4.54,0,-48,-46,1.24,-50.9,-44.7,22,deactivation
278,4,112,6.44,6,-86,0,12.5,-91.8,9.06,22,activation
279,4,223,4.94,-24,-18,-16,-24.1,-13.9,-15.3,22,deactivation
280,5,117,6.07,20,-66,26,21.2,-58.7,20.9,22,activation
281,5,636,6.47,42,-58,46,47.2,-60.7,41,22,deactivation
282,6,176,5.44,-12,-48,-50,-12.2,-51.1,-50.2,22,activation
283,6,817,5.79,64,-46,0,60.6,-32.1,-1.04,22,deactivation
284,7,432,6.72,40,34,36,32.6,38.7,34.6,22,activation
285,7,1043,6.42,-54,-60,32,-45.1,-63.8,38.1,22,deactivation
286,8,509,6.19,-34,14,12,-33.5,20.6,2.45,22,activation
287,8,1114,5.76,-40,-72,-40,-30.6,-75.3,-34.8,22,deactivation
288,9,537,6.32,-54,-2,44,-52.5,4.51,27.1,22,activation
289,9,1149,5.47,52,32,0,42.5,42.4,-3.16,22,deactivation
290,1,72,4.87,16,-34,44,12.3,-26.3,44.6,23,activation
291,1,91,4.87,-22,12,-6,-16.8,10.5,-7.27,23,deactivation
292,10,503,5.55,40,-38,58,27.1,-47.1,60.3,23,activation
293,11,601,5.7,-46,-72,14,-44.7,-72.9,8.81,23,activation
294,12,706,4.92,58,-38,44,60.5,-32.7,36.2,23,activation
295,13,897,5.27,52,-66,0,45.9,-70,9.33,23,activation
296,14,1259,5.18,36,30,4,45.3,18.8,6.49,23,activation
