ParticipantID,ROI,Cope number,Phase,Action,Regressor,Value
sub103,ACC,2,post,firstCheck,TimeSinceLastCheck,-0.8997
sub103,ACC,3,post,firstCheck,Proximity,0.5996
sub103,ACC,4,post,firstCheck,Reward,-0.1
sub103,ACC,5,post,firstForage,Constant,-0.8441
sub103,ACC,6,post,firstForage,TimeSinceLastCheck,-0.6625
sub103,ACC,7,post,firstForage,Proximity,1.1643
sub103,ACC,8,post,firstForage,Reward,1.1892
sub103,ACC,9,post,Hide,Constant,1.4065
sub103,ACC,10,post,Hide,TimeSinceLastCheck,-0.5195
sub103,ACC,11,post,Hide,Proximity,0.3734
sub103,ACC,12,post,Hide,Reward,1.0842
sub103,ACC,14,pre,SuccessfulFirstCheck,ThreatLevel,-0.204
sub103,ACC,15,pre,firstCheck,Reward,-0.7242
sub103,ACC,16,pre,firstCheck,TimePressure,1.3421
sub103,ACC,18,pre,firstForage,Reward,0.386
sub103,ACC,19,pre,firstForage,TimePressure,0.3795
sub103,ACC,20,pre,firstCheck,Constant,0.1274
sub103,ACC,21,pre,firstForage,Constant,-1.1247
sub103,ACC,70,pre_plus_post,firstForage,Reward,1.18
sub103,ACC,73,post,firstCheck,ThreatLevel,-1.2047
sub103,ACC,74,pre_plus_post,firstCheck,ThreatLevel,-1.2098
sub103,ACC,63,pre,firstForage_minus_firstCheck,Reward,0.7257
sub103,AI,1,post,firstCheck,Constant,2.2054
sub103,AI,2,post,firstCheck,TimeSinceLastCheck,-0.2303
sub103,AI,3,post,firstCheck,Proximity,0.7084
sub103,AI,4,post,firstCheck,Reward,0.2765
sub103,AI,5,post,firstForage,Constant,-1.3827
sub103,AI,6,post,firstForage,TimeSinceLastCheck,-0.3283
sub103,AI,7,post,firstForage,Proximity,0.8797
sub103,AI,8,post,firstForage,Reward,0.0546
sub103,AI,9,post,Hide,Constant,-0.471
sub103,AI,10,post,Hide,TimeSinceLastCheck,-0.2223
sub103,AI,11,post,Hide,Proximity,-0.6295
sub103,AI,12,post,Hide,Reward,1.0546
sub103,AI,14,pre,SuccessfulFirstCheck,ThreatLevel,0.125
sub103,AI,15,pre,firstCheck,Reward,0.043
sub103,AI,16,pre,firstCheck,TimePressure,2.0468
sub103,AI,18,pre,firstForage,Reward,0.7449
sub103,AI,19,pre,firstForage,TimePressure,-0.8553
sub103,AI,20,pre,firstCheck,Constant,0.4183
sub103,AI,21,pre,firstForage,Constant,-1.9273
sub103,AI,70,pre_plus_post,firstForage,Reward,0.419
sub103,AI,73,post,firstCheck,ThreatLevel,-0.474
sub103,AI,74,pre_plus_post,firstCheck,ThreatLevel,-0.3846
sub103,AI,63,pre,firstForage_minus_firstCheck,Reward,0.3954
sub103,Striatum,1,post,firstCheck,Constant,-0.5931
sub103,Striatum,2,post,firstCheck,TimeSinceLastCheck,0.0655
sub103,Striatum,3,post,firstCheck,Proximity,-0.1854
sub103,Striatum,4,post,firstCheck,Reward,-0.123
sub103,Striatum,5,post,firstForage,Constant,-0.7193
sub103,Striatum,6,post,firstForage,TimeSinceLastCheck,-0.8866
sub103,Striatum,7,post,firstForage,Proximity,0.6985
sub103,Striatum,8,post,firstForage,Reward,0.0315
sub103,Striatum,9,post,Hide,Constant,-0.3438
sub103,Striatum,10,post,Hide,TimeSinceLastCheck,-0.2924
sub103,Striatum,11,post,Hide,Proximity,-0.1767
sub103,Striatum,12,post,Hide,Reward,-0.4191
sub103,Striatum,14,pre,SuccessfulFirstCheck,ThreatLevel,0.1974
sub103,Striatum,15,pre,firstCheck,Reward,-0.0497
sub103,Striatum,16,pre,firstCheck,TimePressure,-0.2026
sub103,Striatum,18,pre,firstForage,Reward,0.9813
sub103,Striatum,19,pre,firstForage,TimePressure,-0.6818
sub103,Striatum,20,pre,firstCheck,Constant,0.179
sub103,Striatum,21,pre,firstForage,Constant,-1.1992
sub103,Striatum,70,pre_plus_post,firstForage,Reward,0.5153
sub103,Striatum,73,post,firstCheck,ThreatLevel,0.3278
sub103,Striatum,74,pre_plus_post,firstCheck,ThreatLevel,0.3936
sub103,Striatum,63,pre,firstForage_minus_firstCheck,Reward,0.5911
sub103,PAG,1,post,firstCheck,Constant,-0.2047
sub103,PAG,2,post,firstCheck,TimeSinceLastCheck,-0.7414
sub103,PAG,3,post,firstCheck,Proximity,0.3487
sub103,PAG,4,post,firstCheck,Reward,-0.7648
sub103,PAG,5,post,firstForage,Constant,-1.0859
sub103,PAG,6,post,firstForage,TimeSinceLastCheck,-0.6606
sub103,PAG,7,post,firstForage,Proximity,1.1455
sub103,PAG,8,post,firstForage,Reward,1.1004
