"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
1,"forage","TRUE",1617959829096,3453,3442,1617959825643,1617959825654,2,3,29,29,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",1599,NA,NA,NA,NA,NA,NA,0,27900,45.558,0,0,0,0,0,0.327809523809524,0.152977777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959829505,3862,3851,1617959825643,1617959825654,2,3,29,29,0,0,"TRUE",5,0.0175,640,512,0,3.5,20,0,1,0,"0","0",409,"NaN",2008,NA,NA,NA,NA,NA,NA,0,28309,45.967,0,0,0,0,0,0.366761904761905,0.171155555555556,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959830014,4371,4360,1617959825643,1617959825654,2,3,20,20,20,0,"TRUE",5,0.043,640,512,0,3.5,20,0,1,0,"0","0",509,"NaN",2517,NA,NA,NA,NA,NA,NA,0,28818,46.476,0,0,0,0,0,0.415238095238095,0.193777777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959831822,6179,6168,1617959825643,1617959825654,2,3,28,NA,20,0,"TRUE",5,0.1333,640,512,0,3.5,20,0,1,0,"1","0",1808,"NaN",4325,NA,NA,NA,NA,NA,NA,0,30626,48.284,0,0,0,1,0,0.587428571428571,0.274133333333333,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1617959832588,6945,6934,1617959825643,1617959825654,2,3,28,NA,20,0,"TRUE",5,0.1716,640,512,0,3.5,20,0,1,0,"0","0",2574,"NaN",5091,766,NA,NA,NA,NA,NA,0,31392,49.05,0,0,0,0,0,0.660380952380952,0.308177777777778,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1617959833306,7663,7652,1617959825643,1617959825654,2,3,17,NA,20,0,"TRUE",5,0.2075,640,512,1,3.5,20,0,1,0,"0","1",3292,"NaN",5809,1484,718,NA,NA,NA,NA,0,32110,49.768,0,0,1,0,1,0.728761904761905,0.340088888888889,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959851274,25631,610,1617959825643,1617959850664,2,3,30,30,70,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",15560,"NaN",1601,19452,18686,13920,NA,NA,NA,0,50078,67.736,0,0,0,0,0,0.0580952380952381,0.0271111111111111,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959851790,26147,1126,1617959825643,1617959850664,2,3,34,34,70,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",516,"NaN",2117,19968,19202,14436,NA,NA,NA,0,50594,68.252,0,0,0,0,0,0.107238095238095,0.0500444444444444,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959852154,26511,1490,1617959825643,1617959850664,2,3,34,34,70,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",364,"NaN",2481,20332,19566,14800,NA,NA,NA,0,50958,68.616,0,0,0,0,0,0.141904761904762,0.0662222222222222,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959852510,26867,1846,1617959825643,1617959850664,2,3,34,34,104,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",356,"NaN",2837,20688,19922,15156,NA,NA,NA,0,51314,68.972,0,0,0,0,0,0.175809523809524,0.0820444444444444,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959853755,28112,3091,1617959825643,1617959850664,2,3,65,65,104,0,"TRUE",4,0.0294,640,512,0,2.5,20,1,2,0,"0","0",1245,"NaN",4082,21933,21167,16401,NA,NA,NA,0,52559,70.217,0,0,0,0,0,0.294380952380952,0.137377777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959854165,28522,3501,1617959825643,1617959850664,2,3,65,65,169,0,"TRUE",4,0.05,640,512,0,2.5,20,1,2,0,"0","0",410,"NaN",4492,22343,21577,16811,NA,NA,NA,0,52969,70.627,0,0,0,0,0,0.333428571428571,0.1556,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959854677,29034,4013,1617959825643,1617959850664,2,3,38,38,169,0,"TRUE",4,0.0755,640,512,0,2.5,20,1,2,0,"0","0",512,"NaN",5004,22855,22089,17323,NA,NA,NA,0,53481,71.139,0,0,0,0,0,0.382190476190476,0.178355555555556,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959855249,29606,4585,1617959825643,1617959850664,2,3,38,38,169,0,"TRUE",4,0.1042,640,512,0,2.5,20,1,2,0,"0","0",572,"NaN",5576,23427,22661,17895,NA,NA,NA,0,54053,71.711,0,0,0,0,0,0.436666666666667,0.203777777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959855555,29912,4891,1617959825643,1617959850664,2,3,38,38,169,0,"TRUE",4,0.1194,640,512,0,2.5,20,1,2,0,"0","0",306,"NaN",5882,23733,22967,18201,NA,NA,NA,0,54359,72.017,0,0,0,0,0,0.465809523809524,0.217377777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959855813,30170,5149,1617959825643,1617959850664,2,3,28,28,197,0,"TRUE",4,0.1323,640,512,0,2.5,20,1,2,0,"0","0",258,"NaN",6140,23991,23225,18459,NA,NA,NA,0,54617,72.275,0,0,0,0,0,0.490380952380952,0.228844444444444,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1617959856638,30995,5974,1617959825643,1617959850664,2,3,28,NA,197,0,"TRUE",4,0.1736,640,512,0,2.5,20,1,2,0,"0","1",825,"NaN",6965,24816,24050,19284,NA,NA,NA,0,55442,73.1,0,0,0,1,0,0.568952380952381,0.265511111111111,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1617959857304,31661,6640,1617959825643,1617959850664,2,3,34,NA,197,0,"TRUE",4,0.2069,640,512,0,2.5,20,1,2,0,"0","1",1491,"NaN",7631,666,24716,19950,NA,NA,NA,0,56108,73.766,0,0,0,0,0,0.632380952380952,0.295111111111111,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959857768,32125,7104,1617959825643,1617959850664,2,3,45,NA,197,0,"TRUE",4,0.2301,640,512,0,2.5,20,1,2,0,"1","0",1955,"NaN",8095,464,25180,20414,NA,NA,NA,0,56572,74.23,0,0,0,0,0,0.676571428571429,0.315733333333333,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1617959858377,32734,7713,1617959825643,1617959850664,2,3,45,NA,197,0,"TRUE",4,0.2606,640,512,1,2.5,20,1,2,0,"0","0",2564,"NaN",8704,609,25789,21023,NA,NA,NA,0,57181,74.839,0,0,1,0,0,0.734571428571429,0.3428,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959875458,49815,777,1617959825643,1617959874681,2,3,20,20,423,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",10655,"NaN",1551,17690,16501,38104,NA,NA,NA,0,74262,91.92,0,0,0,0,0,0.074,0.0345333333333333,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959875771,50128,1090,1617959825643,1617959874681,2,3,10,10,423,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",313,"NaN",1864,18003,16814,38417,NA,NA,NA,0,74575,92.233,0,0,0,0,0,0.103809523809524,0.0484444444444444,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959876285,50642,1604,1617959825643,1617959874681,2,3,10,10,423,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",514,"NaN",2378,18517,17328,38931,NA,NA,NA,0,75089,92.747,0,0,0,0,0,0.152761904761905,0.0712888888888889,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959876704,51061,2023,1617959825643,1617959874681,2,3,15,15,438,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",419,"NaN",2797,18936,17747,39350,NA,NA,NA,0,75508,93.166,0,0,0,0,0,0.192666666666667,0.0899111111111111,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959877063,51420,2382,1617959825643,1617959874681,2,3,15,15,438,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",359,"NaN",3156,19295,18106,39709,NA,NA,NA,0,75867,93.525,0,0,0,0,0,0.226857142857143,0.105866666666667,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959878081,52438,3400,1617959825643,1617959874681,2,3,2,2,438,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",1018,"NaN",4174,20313,19124,40727,NA,NA,NA,0,76885,94.543,0,0,0,0,0,0.323809523809524,0.151111111111111,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959878392,52749,3711,1617959825643,1617959874681,2,3,2,2,440,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",311,"NaN",4485,20624,19435,41038,NA,NA,NA,0,77196,94.854,0,0,0,0,0,0.353428571428571,0.164933333333333,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959878654,53011,3973,1617959825643,1617959874681,2,3,2,2,440,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",262,"NaN",4747,20886,19697,41300,NA,NA,NA,0,77458,95.116,0,0,0,0,0,0.378380952380952,0.176577777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1617959879788,54145,5107,1617959825643,1617959874681,2,3,22,NA,440,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","1",1134,"NaN",5881,22020,20831,42434,NA,NA,NA,0,78592,96.25,0,0,0,1,0,0.486380952380952,0.226977777777778,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959880144,54501,5463,1617959825643,1617959874681,2,3,22,NA,440,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"1","0",1490,"NaN",6237,356,21187,42790,NA,NA,NA,0,78948,96.606,0,0,0,0,0,0.520285714285714,0.2428,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1617959880705,55062,6024,1617959825643,1617959874681,2,3,28,NA,440,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",2051,"NaN",6798,561,21748,43351,NA,NA,NA,0,79509,97.167,0,0,0,0,0,0.573714285714286,0.267733333333333,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1617959881225,55582,6544,1617959825643,1617959874681,2,3,28,NA,440,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","1",2571,"NaN",7318,1081,520,43871,NA,NA,NA,0,80029,97.687,0,0,0,0,1,0.623238095238095,0.290844444444444,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959881845,56202,7164,1617959825643,1617959874681,2,3,15,15,455,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,3,0,"0","0",3191,"NaN",7938,1701,1140,620,NA,NA,NA,0,80649,98.307,0,0,0,0,0,0.682285714285714,0.0914222222222222,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959883484,57841,8803,1617959825643,1617959874681,2,3,23,23,478,0,"TRUE",3,0.0149,640,512,0,8.5,20,2,3,0,"0","0",1639,"NaN",9577,3340,2779,2259,NA,NA,NA,0,82288,99.946,0,0,0,0,0,0.838380952380952,0.164266666666667,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959884984,59341,10303,1617959825643,1617959874681,2,3,21,21,499,0,"TRUE",3,0.09,640,512,0,8.5,20,2,3,0,"0","0",1500,"NaN",11077,4840,4279,3759,NA,NA,NA,0,83788,101.446,0,0,0,0,0,0.981238095238095,0.230933333333333,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1617959886426,60783,11745,1617959825643,1617959874681,2,3,12,NA,499,0,"TRUE",3,0.162,640,512,0,8.5,20,2,3,0,"0","1",1442,"NaN",12519,6282,5721,5201,NA,NA,NA,0,85230,102.888,0,0,0,1,0,1,0.295022222222222,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959886887,61244,12206,1617959825643,1617959874681,2,3,5,NA,499,0,"TRUE",3,0.1851,640,512,1,8.5,20,2,3,0,"1","0",1903,"NaN",12980,461,6182,5662,NA,NA,NA,0,85691,103.349,0,0,1,0,0,1,0.315511111111111,1,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959925982,2126,2120,1617959923856,1617959923862,3,1,9,9,818,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",10320,"NaN",1295,3703,15570,14796,NA,NA,NA,0,124786,142.444,0,0,0,0,0,0.201904761904762,0.0942222222222222,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959926393,2537,2531,1617959923856,1617959923862,3,1,9,9,818,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",411,"NaN",1706,4114,15981,15207,NA,NA,NA,0,125197,142.855,0,0,0,0,0,0.241047619047619,0.112488888888889,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959926860,3004,2998,1617959923856,1617959923862,3,1,9,9,818,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",467,"NaN",2173,4581,16448,15674,NA,NA,NA,0,125664,143.322,0,0,0,0,0,0.28552380952381,0.133244444444444,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959927370,3514,3508,1617959923856,1617959923862,3,1,19,19,837,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",510,"NaN",2683,5091,16958,16184,NA,NA,NA,0,126174,143.832,0,0,0,0,0,0.334095238095238,0.155911111111111,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1617959928293,4437,4431,1617959923856,1617959923862,3,1,23,NA,837,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","1",923,"NaN",3606,6014,17881,17107,NA,NA,NA,0,127097,144.755,0,0,0,0,0,0.422,0.196933333333333,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959929014,5158,5152,1617959923856,1617959923862,3,1,25,NA,837,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","1",1644,"NaN",4327,721,18602,17828,NA,NA,NA,0,127818,145.476,0,0,0,0,0,0.490666666666667,0.0320444444444444,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959929683,5827,5821,1617959923856,1617959923862,3,1,25,25,862,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",2313,"NaN",4996,669,19271,18497,NA,NA,NA,0,128487,146.145,0,0,0,0,0,0.554380952380952,0.0297333333333333,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959931124,7268,7262,1617959923856,1617959923862,3,1,29,29,862,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1441,"NaN",6437,2110,20712,19938,NA,NA,NA,0,129928,147.586,0,0,0,0,0,0.691619047619048,0.0937777777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959931486,7630,7624,1617959923856,1617959923862,3,1,29,29,891,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",362,"NaN",6799,2472,21074,20300,NA,NA,NA,0,130290,147.948,0,0,0,0,0,0.726095238095238,0.109866666666667,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959932943,9087,9081,1617959923856,1617959923862,3,1,13,13,891,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1457,"NaN",8256,3929,22531,21757,NA,NA,NA,0,131747,149.405,0,0,0,0,0,0.864857142857143,0.174622222222222,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1617959933253,9397,9391,1617959923856,1617959923862,3,1,13,13,904,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",310,"NaN",8566,4239,22841,22067,NA,NA,NA,0,132057,149.715,0,0,0,0,0,0.894380952380952,0.1884,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959934137,10281,10275,1617959923856,1617959923862,3,1,13,13,904,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",884,"NaN",9450,5123,23725,22951,NA,NA,NA,0,132941,150.599,0,0,0,0,0,0.978571428571429,0.227688888888889,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","TRUE",1617959934703,10847,10841,1617959923856,1617959923862,3,1,13,NA,904,0,"TRUE",3,0.0171,640,512,0,10.5,20,0,1,0,"0","1",566,"NaN",10016,5689,24291,23517,NA,NA,NA,0,133507,151.165,0,0,0,0,0,1,0.252844444444444,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1617959935220,11364,11358,1617959923856,1617959923862,3,1,17,NA,904,0,"TRUE",3,0.0429,640,512,1,10.5,20,0,1,0,"0","1",1083,"NaN",10533,517,24808,24034,NA,NA,NA,0,134024,151.682,0,0,1,0,0,1,0.0229777777777778,0,"sub103",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959956293,32437,418,1617959923856,1617959955875,3,1,25,25,999,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",8681,"NaN",1350,11173,45881,45107,NA,NA,NA,0,155097,172.755,0,0,0,0,0,0.0398095238095238,0.0185777777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959956703,32847,828,1617959923856,1617959955875,3,1,25,25,999,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",410,"NaN",1760,11583,46291,45517,NA,NA,NA,0,155507,173.165,0,0,0,0,0,0.0788571428571429,0.0368,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959957004,33148,1129,1617959923856,1617959955875,3,1,25,25,999,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",301,"NaN",2061,11884,46592,45818,NA,NA,NA,0,155808,173.466,0,0,0,0,0,0.10752380952381,0.0501777777777778,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1617959957363,33507,1488,1617959923856,1617959955875,3,1,25,25,999,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",359,"NaN",2420,12243,46951,46177,NA,NA,NA,0,156167,173.825,0,0,0,0,0,0.141714285714286,0.0661333333333333,0,"sub103",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
