"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
1,"forage","TRUE",1622203450674,2315,2304,1622203448359,1622203448370,0,4,29,29,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",NA,NA,NA,NA,NA,NA,NA,0,40335,57.993,0,0,0,0,0,0.219428571428571,0.1024,0,"sub121",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1622203452532,4173,4162,1622203448359,1622203448370,0,4,90,90,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1858,"NaN",1024,NA,NA,NA,NA,NA,NA,0,42193,59.851,0,0,0,0,0,0.396380952380952,0.184977777777778,0,"sub121",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1622203452983,4624,4613,1622203448359,1622203448370,0,4,90,90,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",451,"NaN",1475,NA,NA,NA,NA,NA,NA,0,42644,60.302,0,0,0,0,0,0.439333333333333,0.205022222222222,0,"sub121",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1622203453392,5033,5022,1622203448359,1622203448370,0,4,70,70,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",409,"NaN",1884,NA,NA,NA,NA,NA,NA,0,43053,60.711,0,0,0,0,0,0.478285714285714,0.2232,0,"sub121",FALSE,"sched9_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1622203454260,5901,5890,1622203448359,1622203448370,0,4,70,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"1","0",868,"NaN",2752,NA,NA,NA,NA,NA,NA,0,43921,61.579,0,0,0,1,0,0.560952380952381,0.261777777777778,0,"sub121",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1622203454833,6474,6463,1622203448359,1622203448370,0,4,57,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1441,"NaN",3325,573,NA,NA,NA,NA,NA,0,44494,62.152,0,0,0,0,0,0.61552380952381,0.287244444444444,1,"sub121",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","TRUE",1622203455292,6933,6922,1622203448359,1622203448370,0,4,57,NA,0,0,"TRUE",3,0.0209,640,512,0,6.5,20,0,1,0,"0","0",1900,"NaN",3784,1032,459,NA,NA,NA,NA,0,44953,62.611,0,0,0,0,0,0.659238095238095,0.307644444444444,1,"sub121",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1622203455701,7342,7331,1622203448359,1622203448370,0,4,32,NA,0,0,"TRUE",3,0.0413,640,512,0,6.5,20,0,1,0,"0","0",2309,"NaN",4193,1441,868,409,NA,NA,NA,0,45362,63.02,0,0,0,0,0,0.698190476190476,0.325822222222222,1,"sub121",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","TRUE",1622203456172,7813,7802,1622203448359,1622203448370,0,4,32,NA,0,0,"TRUE",3,0.0649,640,512,0,6.5,20,0,1,0,"0","0",2780,"NaN",4664,1912,1339,471,NA,NA,NA,0,45833,63.491,0,0,0,0,1,0.743047619047619,0.346755555555556,1,"sub121",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
6,"vigilence6","FALSE",1622203456635,8276,8265,1622203448359,1622203448370,0,4,54,NA,0,0,"TRUE",3,0.088,640,512,0,6.5,20,0,1,0,"0","1",3243,"NaN",5127,2375,1802,934,463,NA,NA,0,46296,63.954,0,0,0,1,0,0.787142857142857,0.105555555555556,0,"sub121",TRUE,"sched9_17Jan20_45min_shuffledv2.json"
