"buttonID","buttonName","disabled","rawtimeStamp","timeInCurrEnv","tpEpoch","envStartTime","epochStartTime","envIndex","noOfCones","rewAvail_currTP","rewardGained","totalInProgressBar","lifeCounter","predatorPresent","predatorLocation","predatorProxPerc","predatorProxX","predatorProxY","predatorSeen","predatorDelay","predatorSpeed","predatorIndex_currEnv","predatorTotal_currEnv","timesCaught_currEnv","firstCheck","lastCheck","timeSinceLastForage","timeSinceLastHide","timeSinceLastReturnFromHiding","timeSinceLastCheck_cone3","timeSinceLastCheck_cone4","timeSinceLastCheck_cone5","timeSinceLastCheck_cone6","timeSinceLastCheck_cone7","timeSinceLastCheck_cone8","timeSincelastButtonPress","msec_since_tenth_pulse","sec_since_first_pulse_corrected","afterEpoch","failedAttempts","discovery","firstCheck_corrected","lastCheck_corrected","pPredator","timePressure","recheck","ParticipantIDs","checkAction","schedID"
1,"forage","TRUE",1622107652008,4268,4256,1622107647740,1622107647752,0,4,90,90,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",NA,"NaN",1543,NA,NA,NA,NA,NA,NA,0,38619,56.277,0,0,0,0,0,0.405333333333333,0.189155555555556,0,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1622107653137,5397,5385,1622107647740,1622107647752,0,4,70,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"1","0",1129,"NaN",2672,NA,NA,NA,NA,NA,NA,0,39748,57.406,0,0,0,1,0,0.512857142857143,0.239333333333333,0,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1622107653916,6176,6164,1622107647740,1622107647752,0,4,57,NA,0,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,1,0,"0","0",1908,"NaN",3451,779,NA,NA,NA,NA,NA,0,40527,58.185,0,0,0,0,0,0.587047619047619,0.273955555555556,1,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
5,"vigilence5","FALSE",1622107654588,6848,6836,1622107647740,1622107647752,0,4,57,NA,0,0,"TRUE",4,0.0168,640,512,0,6.5,20,0,1,0,"0","0",2580,"NaN",4123,1451,672,NA,NA,NA,NA,0,41199,58.857,0,0,0,0,0,0.651047619047619,0.303822222222222,1,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
6,"vigilence6","FALSE",1622107655261,7521,7509,1622107647740,1622107647752,0,4,32,NA,0,0,"TRUE",4,0.0504,640,512,0,6.5,20,0,1,0,"0","1",3253,"NaN",4796,2124,1345,673,NA,NA,NA,0,41872,59.53,0,0,0,0,1,0.715142857142857,0.333733333333333,1,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107655834,8094,8082,1622107647740,1622107647752,0,4,54,54,54,0,"TRUE",4,0.079,640,512,0,6.5,20,0,1,0,"0","0",3826,"NaN",5369,2697,1918,1246,573,NA,NA,0,42445,60.103,0,0,0,0,0,0.769714285714286,0.119866666666667,0,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
3,"vigilence3","FALSE",1622107657436,9696,9684,1622107647740,1622107647752,0,4,2,NA,54,0,"TRUE",4,0.1591,640,512,0,6.5,20,0,1,0,"1","0",1602,"NaN",6971,4299,3520,2848,2175,NA,NA,0,44047,61.705,0,0,0,1,0,0.922285714285714,0.191066666666667,0,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
4,"vigilence4","FALSE",1622107657967,10227,10215,1622107647740,1622107647752,0,4,10,NA,54,0,"TRUE",4,0.1857,640,512,1,6.5,20,0,1,0,"0","0",2133,"NaN",7502,531,4051,3379,2706,NA,NA,0,44578,62.236,0,0,1,0,0,0.972857142857143,0.214666666666667,1,"sub218",TRUE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","TRUE",1622107677105,29365,1342,1622107647740,1622107675763,0,4,10,10,285,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",8473,"NaN",1826,19669,12869,22517,21844,NA,NA,0,63716,81.374,0,0,0,0,0,0.127809523809524,0.0596444444444444,0,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
1,"forage","FALSE",1622107677879,30139,2116,1622107647740,1622107675763,0,4,9,9,294,0,"FALSE",NA,NA,NA,NA,0,NA,20,NA,2,0,"0","0",774,"NaN",2600,20443,13643,23291,22618,NA,NA,0,64490,82.148,0,0,0,0,0,0.20152380952381,0.0940444444444445,0,"sub218",FALSE,"sched10_17Jan20_45min_shuffledv2.json"
