,Unnamed: 0,Phase,ActionType,TransitionType,RT,ParticipantID,envIndex,predatorTotal_currEnv,timeInCurrEnv,tpEpoch,noOfCones,predatorSpeed,timePressure,rewAvail_currTP,firstActionPostDisc,NForageBeforeCheck,NCheckBeforeForage
57,0,Pre,check,Check-to-check,233,sub103,10,3,58155,,4,20,0.183333333,12,,,3
58,0,Pre,check,Check-to-check,319,sub103,11,1,3043,,4,10,0.24288,13,,,1
59,0,Pre,check,Check-to-check,268,sub103,11,1,2224,,4,10,0.17736,11,,,2
60,0,Pre,check,Check-to-check,131,sub103,11,1,1456,,4,10,0.11592,14,,,3
61,0,Pre,check,Check-to-check,234,sub103,11,1,9298,,4,10,0.67784,25,,,1
62,0,Pre,check,Check-to-check,219,sub103,11,1,8564,,4,10,0.61912,11,,,2
63,0,Pre,check,Check-to-check,222,sub103,11,1,7845,,4,10,0.5616,16,,,3
64,0,Pre,check,Check-to-check,221,sub103,11,2,25694,,4,10,0.4544,59,,,1
65,0,Pre,check,Check-to-check,173,sub103,11,2,24973,,4,10,0.39672,50,,,2
66,0,Pre,check,Check-to-check,121,sub103,11,2,24300,,4,10,0.34288,50,,,3
67,0,Pre,check,Check-to-check,220,sub103,11,3,45777,,4,10,0.37976,34,,,1
68,0,Pre,check,Check-to-check,214,sub103,11,3,45057,,4,10,0.32216,34,,,2
69,0,Pre,check,Check-to-check,221,sub103,11,3,44343,,4,10,0.26504,31,,,3
70,0,Pre,check,Check-to-check,273,sub103,11,4,65112,,4,10,0.48592,7,,,1
71,0,Pre,check,Check-to-check,219,sub103,11,4,64339,,4,10,0.42408,12,,,2
72,0,Pre,check,Check-to-check,224,sub103,11,4,63620,,4,10,0.36656,3,,,3
73,0,Pre,check,Check-to-check,270,sub103,12,1,2201,,3,10,0.17552,14,,,1
74,0,Pre,check,Check-to-check,163,sub103,12,1,1431,,3,10,0.11392,15,,,2
75,0,Pre,check,Check-to-check,216,sub103,12,1,8148,,3,10,0.5904,10,,,1
76,0,Pre,check,Check-to-check,266,sub103,12,1,7432,,3,10,0.53312,28,,,2
77,0,Pre,check,Check-to-check,270,sub103,12,2,23813,,3,10,0.224,44,,,1
78,0,Pre,check,Check-to-check,230,sub103,12,2,23043,,3,10,0.1624,44,,,2
79,0,Pre,check,Check-to-check,119,sub103,12,2,26815,,3,10,0.36016,42,,,1
80,0,Pre,check,Check-to-check,274,sub103,12,3,40663,,3,10,0.292,9,,,1
81,0,Pre,check,Check-to-check,382,sub103,12,3,39889,,3,10,0.23008,20,,,2
82,0,Pre,check,Check-to-check,68,sub103,12,3,39007,,3,10,0.15952,19,,,3
83,0,Pre,check,Check-to-check,231,sub103,12,4,58168,,3,10,0.41176,31,,,1
84,0,Pre,check,Check-to-check,171,sub103,12,4,57437,,3,10,0.35328,22,,,2
85,0,Pre,check,Check-to-check,217,sub103,12,5,75580,,3,10,0.52392,33,,,1
86,0,Pre,check,Check-to-check,218,sub103,12,5,74863,,3,10,0.46656,22,,,2
87,0,Pre,check,Check-to-check,267,sub103,13,1,1487,,2,20,0.065822222,39,,,1
88,0,Pre,check,Check-to-check,214,sub103,13,1,720,,2,20,0.031733333,20,,,2
89,0,Pre,check,Check-to-check,267,sub103,13,2,29178,,2,20,0.185555556,8,,,1
90,0,Pre,check,Check-to-check,-145,sub103,14,2,24047,,1,15,0.020285714,23,,,1
91,0,Pre,check,Check-to-check,65,sub103,14,3,48031,,1,15,0.032285714,24,,,1
92,0,Pre,check,Check-to-check,-85,sub103,14,4,74277,,1,15,0.023714286,30,,,1
93,0,Pre,check,Check-to-check,116,sub103,15,1,1899,,2,15,0.108171429,40,,,1
94,0,Pre,check,Check-to-check,73,sub103,15,1,8084,,2,15,0.388628571,45,,,1
95,0,Pre,check,Check-to-check,179,sub103,15,2,28312,,2,15,0.131771429,30,,,1
96,0,Pre,check,Check-to-check,126,sub103,15,3,52639,,2,15,0.150514286,27,,,1
97,0,Pre,check,Check-to-check,165,sub103,15,4,74440,,2,15,0.139428571,28,,,1
98,0,Pre,check,Check-to-check,-33,sub103,15,4,73775,,2,15,0.101428571,29,,,2
99,0,Pre,check,Check-to-check,172,sub103,15,4,80737,,2,15,0.424514286,23,,,1
100,0,Pre,check,Check-to-check,131,sub103,16,1,1461,,2,15,0.083142857,33,,,1
101,0,Pre,check,Check-to-check,324,sub103,16,1,830,,2,15,0.047085714,30,,,2
102,0,Pre,check,Check-to-check,169,sub103,16,3,43001,,2,15,0.227942857,2,,,1
103,0,Pre,check,Check-to-check,-34,sub103,18,3,42937,,1,15,0.026628571,9,,,1
104,0,Pre,check,Check-to-check,175,sub103,19,1,1859,,3,20,0.082311111,41,,,1
105,0,Pre,check,Check-to-check,178,sub103,19,1,1184,,3,20,0.052311111,41,,,2
106,0,Pre,check,Check-to-check,176,sub103,19,2,28380,,3,20,0.149466667,37,,,1
107,0,Pre,check,Check-to-check,278,sub103,19,2,27704,,3,20,0.119422222,24,,,2
108,0,Pre,check,Check-to-check,66,sub103,19,2,26926,,3,20,0.084844444,24,,,3
109,0,Pre,check,Check-to-check,276,sub103,19,3,57222,,3,20,0.142755556,21,,,1
110,0,Pre,check,Check-to-check,213,sub103,19,3,56446,,3,20,0.108266667,20,,,2
111,0,Pre,check,Check-to-check,75,sub103,20,1,1083,,2,10,0.08616,20,,,1
112,0,Pre,check,Check-to-check,170,sub103,20,2,18393,,2,10,0.19048,16,,,1
113,0,Pre,check,Check-to-check,227,sub103,20,3,37723,,2,10,0.21736,7,,,1
114,0,Pre,check,Check-to-check,117,sub103,20,3,36996,,2,10,0.1592,13,,,2
